Rating,Comment,Licenses,Account,App,Date,Age,Page Loads - All,Page Loads - FS
0,"It is not user friendly, not easy to customise and doesn't sink well with QBO. Everything seems to be a workaround....",10,murexcowrietradinglimited,Method:CRM For QBO,2023-06-02,140,2416,0
0,"interface, functionality & vertical information are not user friendly. The reports are fractured and require to much manual input,",10,j2medicalsupplyinc,Method:CRM for QBD,2023-04-29,1076,248,0
5,I like the dashboard.,45,LRP,Method:CRM for QBD,2024-07-24,2056,79,0
6,I like the ability to communicate with my guys in the field on jobs as they occur during the day.  I don't like some of the features that hinder the efficiency of our work day.  I just had a free hour session that may help with one issue.  Will probably need to schedule another hour to further make adjustments.,6,rpssewerservicesllc,Method:CRM For QBO,2023-10-18,456,2932,1361
0,"hard to use - difficult to make reports and there is literally no guidance 
",12,beemedic,Method:CRM for QBD,2023-07-27,364,336,0
0,Complete failure to get my Method account moved from QB Desktop to QB Online. Waiting since April-STILL not complete.,2,oregonmarineconstruction,Method:CRM For QBO,2023-09-19,266,543,6
4,Not very easy to customize.,6,transmetroninc3,Method:CRM for QBD,2023-12-27,49,1078,0
1,Sync Engine causes errors in company file that Method support cannot fix.,2,ichrom,Method:CRM for QBD,2023-08-03,1442,10,0
0,clunky and slow,108,containerone1,Method:CRM For QBO,2024-08-26,2489,14123,0
0,Yuk,12,legacyplumbingnc,Method:FieldServices for QBD,2024-08-06,40,505,477
0,because you keep bugging me w/ surveys when I'm trying to work.,25,islandsashanddoorNEW,Method:CRM for QBD,2023-11-28,1733,1134,61
5,Slow.,5,durabikelocker,Method:CRM for QBD,2023-07-11,481,2739,0
6,"hard to customize especially since  customizations apparently dont flow thru system such as phone and email following the customer name thru all aps.  At least some of the customization reps dont advise customers ahead of potential issues to streamline or avoid even simple problems such as this.  And when changes or resolutions to problems that couldve been avoided are done and paid for, they turn out to NOT mimic areas of synchronicity that could have been mirrored.",2,wholelogreclaimed3,Method:CRM For QBO,2023-09-20,666,1760,53
5,Method rep takes many weeks to respond to our issues.,6,kinetictoolsinc,Method:CRM for QBD,2024-01-16,209,108,0
0,"The estimation tool is not great for custom solutions. Not easy to set up sections, check pricing, work with bad internet signal and the estimate template does not look good.",13,gxconnectptyltdtagaprocmedia2,Method:CRM For QBO,2023-03-09,140,344,0
0,"Too many duplicates, user interface is horrible",13,keybusinesssolutions,Method CRM for QB Desktop,2023-09-19,3387,10461,0
2,The constant malfunctions and months of not being able to export email campaign reports is a problem. So are the constant bugs that keep coming up.,4,coolbluedistribution,Method:CRM For QBO,2023-07-13,946,7611,0
0,"Slow and always glitching. Doesn't let me drag a pdf straight from an email or folder, method forces me to put it on my desktop first then i can drag and drop.",43,foxmark,Method:CRM For QBO,2024-04-18,2159,1431,0
1,"Not really built for our industry. It might be okay for other industries, but ours requires too complex quotes and it's not flexible enough.",13,gxconnectptyltdtagaprocmedia2,Method:CRM For QBO,2024-06-04,593,385,0
3,Sluggish,1,Treeform,Method:CRM For QBO,2023-08-02,1114,365,0
0,"It’s hard to get logged in to, NEVER get help from support, and now we lost a whole month of customer invoices that didn’t send over to our Quickbooks account.  We pay in full for a years worth of services and it’s not a great tool!",2,littlemissouriranchsupply,Method:CRM For QBO,2023-10-26,498,14,4
0,The support is absolutely horrible,10,livernoismotorsports,Method:CRM for QBD,2024-09-24,239,610,0
0,not intuitive,14,safaribeltingsystemsinc,Method:CRM for QBD,2024-08-08,1004,24,0
0,"we lack the ability to pool all our info into this system so its often very incomplete as far as customer  profiles so we have to look through multiple systems  to try to get the correct info. this could be an issue with software or an issue with the company not correctly using method, but compared to other tools for the pool industry that I've used in the past, this is the least organized",20,excelpoolservice,Method CRM Pro for QB Desktop,2023-09-08,3542,42,42
0,"down time, not even working right now
",10,controlledaccess,Method:CRM for QBD,2024-03-28,1380,264,0
0,"The integration hooks constantly have to be reset, very slow to update, fixing sync errors is ridiculous, information flow is horrible, and system is extremely clunky to use. Over priced product for very little productivity. Creating reports is impossible unless you pay an outrageous amount for customization and they are not insightful. ",1,ggb,Method:CRM for QBD,2023-01-16,880,1649,0
0,Too many issues and glitches.,12,saturnelectricalservices,Method:CRM For QBO,2024-07-26,312,5454,1989
2,sync conflicts with Quickbooks and Avatax are corrupting my company file multiple times per day,2,ichrom,Method:CRM for QBD,2023-11-09,1540,136,0
4,Does not work well for project management and is missing a good 3000 foot view of everything I am managing,16,usafleetsolutions,Method:CRM For QBO,2024-08-02,2207,1189,39
3,It's difficult to customize,5,smstechsolutionsllc,Method:CRM For QBO,2024-01-09,327,719,0
6,Too hard to change anything,3,kaelinegrouplimited,Method:CRM For QBO,2023-03-24,80,1082,0
4,difficult in maximizing its potential without having to pay through the nose for tech support.  feels like a bait and switch sales process you use.  may switch from method because of it.,2,curbsideupfitters,Method:CRM For QBO,2023-10-30,66,662,0
2,"Entering contacts, customers, leads, activities, ",5,perioview4,Method:CRM for QBD,2023-04-11,61,1580,0
0,Support after the sale..... It Blows!,15,aerialandcraneexpertsinc3,Method:CRM For QBO,2023-03-03,220,173,0
0,NOT user friendly.  Previous version was MUCH better.  This one has been written to maximize Method's revenues.,5,snowdenonsite2,Method:CRM For QBO,2024-01-26,994,729,295
5,good,2,prosecurefzco,Method:CRM For QBO,2023-12-21,388,187,83
0,Very glitchy. Seems outdated. Keeping track of client activities is much easier using Excel,9,kgmenterprises,Method:CRM For QBO,2024-02-05,1962,6471,0
0,the account / customer set up is very frustrating for our business. We can not add new and or change contacts within an account.,5,wildlifedistilleryinc,Method:CRM For QBO,2023-11-28,1701,2514,0
0,"slow, lots of stuff to enter/click that slows my work. dont like it but i have no choice",22,docudavit4,Method:CRM For QBO,2024-07-09,462,15780,0
0,its not salesforce & the mobile app is trash,7,OZOPENGINEERINGANDDESIGNINC,Method:CRM For QBO,2023-07-12,460,23,23
3,The worst part about method is I can't customize my estimates and invoicing. - Jay,0,BereahFarms,Method:CRM for QBD,2023-12-14,738,8070809,538315
