Account Name,Company,ICP Fit Verified,Eligible ,Industry,Company Description,Business Type,Business Model,# of Warehouses,ICP Fit (Yes/No) & Rationale (AI),New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,New / Edit Sales Receipt
acsdistributionllc,ACS Distribution LLC,Yes,Yes,Fiber Optic Materials Distribution,"Distributor of fiber optic cables and materials for internet and data center projects, stocking supplies to keep telecom projects moving.",Small,B2B,1,"Yes – Very small B2B distributor presumably focusing on fiber optic or similar products (as indicated by the “acsfiber” email domain). These are non-regulated, non-perishable finished goods (cables/components) with moderate SKU variety suitable for our ICP.",0,0,0,0,0,0,0,0,0,0,0
aedeschristiholdingsincdbadubalbros,"Aedes Christi Holdings, Inc.",Yes,Yes,Wholesale Apparel (Men’s Accessories),"A wholesale clothing company (dba Dubal Bros.) with 30+ years selling men’s accessories (ties, cufflinks, etc.) to independent men’s clothing retailers.",Small,B2B,1,"Yes – Small (“2–10” employees) wholesale distributor of accessories like cufflinks (dba Classy Cufflinks), which are non-regulated, non-perishable finished goods. They likely handle a moderate range of SKUs in jewelry/accessories, fitting our ICP.",0,0,0,0,0,0,0,0,0,0,0
albertlpunktinc1,albert L. (punkt) Inc.,Yes,No,Housewares & Kitchen Accessories Wholesale,"Importer and distributor of international houseware products (e.g. bamboo bowls, server sets), showcased with a “dazzling” array of kitchen accessories.",Small,B2B,1,"Yes – Small distributor of home/kitchen accessories (e.g., glassware, bowls, kitchenware) – finished consumer goods that are non-perishable, non-regulated, and non-serialized. They likely carry a moderate range of SKUs in housewares, which fits our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
arboragri,ArborAgri Ltd,Yes,No,Agricultural & Forestry Machinery,"Distributor of top-quality flail mowers, forestry mulchers, sprayers and related machinery, promoting Seppi mulchers and CIMA sprayers in the UK.",Small,B2B,1,"Yes – Small distributor of arboriculture/agricultural equipment (finished machinery/tools for tree and land care). These are non-perishable, non-regulated items; likely a moderate number of SKUs (various attachments or tools) across 1–3 warehouses. Fits our ICP criteria.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
artcofabricsnorthamericainc2,Artco Fabrics North America Inc.,No,No,Upholstery Textile Import/Distribution,Imports and wholesales premium upholstery and drapery fabrics (e.g. representing European textile brands) for the North American market.,Small,B2B,1,"No – Distributes upholstery/textile fabrics, which are raw materials for manufacturing (not finished goods). Raw materials are excluded from our target ICP.",0,0,1,1,1,0,1,0,4,0,0
banksdistro,Banks Distro LLC,No,Yes,Hemp/Cannabis Product Distribution,"Licensed wholesaler of vape and cannabinoid products (e.g. delta-8 THC disposables), providing hemp-derived products to retail shops.",Small,B2B,1,"No – Likely a distributor of CBD/hemp or similar products (the email suggests CBD). Such products are regulated and often consumable, thus not within our non-regulated ICP focus.",0,0,0,0,0,0,0,0,0,0,0
betterbuychairsinc,Better Buy Chairs Inc.,Yes,No,Contract Furniture (Hospitality),"Supplier of commercial chairs and furniture with 30+ years experience, serving Western Canada’s restaurants, pubs, cafes and hotels with contract seating.",Small,B2B,1,"Yes – Small (8 employees) distributor of furniture (chairs and related furnishings), which are finished goods, non-perishable, and not regulated. They operate on a small scale and likely carry a moderate catalog of SKUs (various chair models) – a good ICP fit.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
bloomco3,Bloomco,Yes,Yes,Automotive Detailing Products Manufacturing,"Manufacturer and distributor of high-grade automotive detailing chemicals and car wash supplies, serving a diverse client base since 1987.",Small,Both,1,"Yes – Small distributor (36 employees) likely dealing in finished products such as automotive detailing supplies or promotional merchandise. In either case, these goods are non-perishable and unregulated. Bloomco’s scale and product variety (they boast a “full service” distribution) indicate a moderate SKU count, aligning with our ICP.",0,0,0,0,0,0,0,0,0,0,0
byisbeveragellc2,BYIS BEVERAGE LLC,No,No,Health & Wellness Beverage,"Producer of sea moss-based wellness drinks, gels and supplements under the BYIS (“Build Your Immune System”) brand, focused on immune and energy benefits.",Small,Both,1,"No – Distributes beverages (as name implies), which are consumable/perishable goods subject to food regulations. Perishable, regulated drink products put it outside our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
cefiro4,Cefiro Fourniture de Papier et Emballage Inc.,Yes,No,POS & Packaging Supplies Distribution,"Distributor of point-of-sale paper rolls, printing supplies (toners, ribbons) and packaging products (plastic/paper bags), leveraging 22+ years expertise in POS and packaging.",Small,B2B,1,"Yes – Small distributor of paper and packaging supplies (finished goods like paper products, packaging materials). These items are non-perishable, non-regulated, and not serialized. The business likely offers a moderate range of SKUs (various packaging solutions) from 1–2 warehouses, fitting our ICP.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
thecelticgroup,Celtic Group Limited,No,Yes,Consumer Goods Distribution (Jamaica),Distribution and retail company (est. 2018) in Jamaica delivering quality products (e.g. vaping and consumer goods) with a focus on reliability and growth.,Midsize,Both,1,No – Distributes vaping products (email domain suggests vape). E-cigarette/vape products contain nicotine and are age-regulated similarly to tobacco. That regulatory status excludes this company from our ICP.,0,0,0,0,0,0,0,0,0,0,0
codipsausa,Codipsa USA Inc.,No,No,Starch Manufacturing & Distribution,"U.S. arm of a Paraguayan starch producer, providing premium-quality cassava starch and plant-based derivatives with farm-to-table efficiency.",Small,B2B,1,"No – Distributes premium-quality starches and plant-based derivatives, which are raw ingredients for food manufacturing, not finished consumer goods. As a farm-to-table ingredient supplier, it lies outside our finished-goods distribution focus.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
crimsonimaging,Crimson Imaging Supplies LLC,Yes,No,Office & Breakroom Supply Distribution,Comprehensive supplier of office supplies and breakroom products—from coffee and snacks to furniture and appliances—also offering ink/toner and office machines.,Small,B2B,1,"Yes – Distributor of printer/imaging supplies (toners, inks, etc.). These are finished goods, not regulated or perishable. Despite 0 employees listed (likely owner-operated), they serve ~23k customers with small orders, indicating a broad SKU range of imaging products. Their small scale and product type align with the ICP.",0,1,0,0,0,0,0,0,1,0,0
