Cancellation Reason Explanation,Team,GPT Category,Sync Type,Vertical,Sync Region,Cancellation Date
"His main concern was that he does not want to connect Method CRM and QB. However he just did it for the testing purpose and found very spooky. When I did a detailed demo on his Method account, he was concerned that we see all his data. I spoke about our terms of services and the way how we manage customer s data but he was not convinced. 

Along with that, he needed customizations for email automation and $145/hour was very expensive for him.

Also, Scott joined the meeting 5 minutes after I and Robby started our conversation",Customer,Customization and Flexibility,QBO-V3,"Advertising, marketing or PR",US,8/29/2024
We opted to use QB since we're just using method for estimates but not for CRM,Sales,Product Fit,QBO-V3,Other,US,11/27/2024
Just took too much customization to make it work for our environment.,Customer,Customization and Flexibility,QBD,IT and computer related,US,10/16/2024
"wait time for the customization team is  4-5 weeks.
only 1 free hour of consulting.",Customer,Customization and Flexibility,QBO-V3,Field Services,US,10/17/2024
"I think you have a good site. However, it is too customizable for the average user. Then, to get it to where you want it, it will cost too much using your consultations.",Customer,Customization and Flexibility,QBO-V3,Other,US,5/9/2024
Always get an error adding opportunities and the application does not provide clear steps to correct.  Using Quickbooks will be sufficient at this time.,Sales,Technical Issues,QBO-V3,"Advertising, marketing or PR",US,3/8/2024
"Forced into syncing QuickBooks while trying to get a demo. I was looking for a client, not my company, and just wanted a demo. 

After that, a ton of messages came in, urging me to sync my QuickBooks. These came even after I had reported that I wanted to make sure my account is shut down. 

Emails back and forth about how to cancel my account. The UX is terrible - looks great but the interaction design isn't thought out at all. The icing on the cake was when I found the actual Cancel button, in light gray, lower right on my screen, below the text about irrelevant things on the page. 

Well, I hope you use these observations to improve the product.",Connect,Product Fit,QuickBooks,Manufacturing (MWD),,7/3/2024
"Overall pretty good 
But too complicated to customize",Customer,Product Fit,QBD,Telecommunications,CA,12/24/2023
We have to keep a computer on at the office with Quickbooks to work and update and this just is to hard. If we are out on the app on the phone - it doesn't work to have to depend on a computer as well for the contact list.,Service Delivery,Integration Needs,QBD,Wholesale and distribution services (MWD),CA,3/12/2024
"Every month when the auto payment happens it cancels my card, then my email stops functioning properly as well.",Transactions,Communication Issues,QBO-V3,Sport and recreation,AU,8/21/2024
"Over the past few years we have taken Method for several test drives.  We love your product, especially the direct integration with QuickBooks and the ability for clients to see previous invoices not generated in Method, inside the portal.  However, there are several keys areas we need as a technology support company that do not exist in Method or the features do not work:

We setup managed IT contracts with our clients and need the ability to cleaning manage those inside a portal.

We track hours against maintenance contracts (flat rate model), where the client is not billed for each support instance but we still need to know how much time is spent on a work order so we can review and ensure the support agreement is in balance and that we are billing enough.

We also do break/fix/installer type work where we need to schedule a tech or technicians to go onsite.  I couldn't find where I can assign more than one tech to a work order.  There are times when we need to reschedule a work order for another day or even to another technician.  The drag and drop feature is not working and it took a lot of steps to reassign a work order to another day and/or technician.  It was not conducive to a product environment.

Again, we love your product but there key missing features prevent us from considering it further at this time.  I will take a look 6-12 months down the road and see if you are a better fit at that time.  Thank you.",Service Delivery,Product Fit,QBO-V3,Field Services,US,12/27/2023
"This customer failed to gain momentum during the initial experience. 

Starting off the on-boarding strong, the customer was looking to import opportunities into her sales pipeline but run into an issue where the opportunity import was stuck on a loop. 

This frustration was amplified by the fact that our support team was unable to connect for a ticket, (although many attempts were made, the customer does not pickup calls from numbers she does not recognize). 

Although the issue was resolved (much appreciate it, Inder). The delay put a significant strain on her onboarding momentum and prompted her to shop Zoho and Hubspot as alternatives. 

This alongside a growing list of customizations they deemed to be stock features (PO to Bills,  Bills to Workorder, Inbox Tracking) ultimately led to their decision to part ways today.","Admin,Service Delivery",Product Fit,QBO-V3,Construction,US,8/12/2024
too expensive and slow on customization process,Customer,Customization and Flexibility,QBO-V3,Food and beverage,US,2/6/2024
Can't customize fields on QB estimate template to show up in Method. Shocking.,Customer,Customization and Flexibility,QBO-V3,Other,US,1/29/2024
"Your 100% customization selling point is deceptive and requires YOUR developers to do or learn anything. Your materials are lacking to be able to get very far without assistance.  Your UX/UI, even for changing screens or templates is THE MOST obtuse I've encountered.",Customer,Customization and Flexibility,QBO-V3,"Advertising, marketing or PR",US,6/21/2024
Customer was looking for a parent customer portal for managing a student club. They were originally looking to customize our system to better fit their needs but has moved to a student /registration specific platform,Customer,Product Fit,QBO-V3,"Non-profit, govt or religious organization",US,10/11/2024
"Need more in field service features like service history, directions, innovatory back to office",Service Delivery,Product Fit,QBO-V3,,US,11/12/2024
Customization is very complicated and time-consuming. Needs to be more intuitive and user friendly.,Customer,Customization and Flexibility,QBO-V3,Retail,US,7/1/2024
"Customer has an open P2 issue for Proposals:

1.) Formatting of the proposal was difficult to copy and paste
2.) Also the proposal length was an issue.
Unfortunately, the timeline on P2 was too long customer has moved to Thryv as their CRM.

Customization was an option, but without the ability to send proposals they we ren t interested in Method or the integration with QuickBooks.",Customer,Customization and Flexibility,QBO-V3,"Advertising, marketing or PR",US,3/29/2024
Came onto the call to say the pricing of the subscription if the first issue he has - too costly. The next issue he has is that customization is billed in addition to the customization fee. Third and deal breaker for him is that recurring invoices is not available for just the use of CM and ST. Asked for his account to be deleted.,Customer,Pricing and Budget,QBO-V3,,US,10/21/2024
I was not happy with the service I receive with the company. For example there was an issue with setting up the email template. The person  put it together for the free 1 hour  portion as he was doing do I was watching it seem very complation to do it after                               one hour he told me he needed more time. Which cause me to think that if every other one is as complation as this one and I going to have to pay 185 per hour for 6 to 7 which would be   around 1300.00 and would I have to double that then it would be 2600.00 to set it all up.  I found another company that does not charge that kind of money.,Sales,Customization and Flexibility,QBO-V3,,US,1/1/2024
"A bit more context to this customer journey:

1.) The customer was eager from the start and our champion was given the full greenlight from ownership. 
2.) Customer was engaged early in the customization of the system
3.) Since November the customer had become disengaged and we ve made numerous attempts for reengage with customization demos, testing requests and general training offers
4.) Based on our call today, Santiago was getting push back from his owner and decided to move on. Although the exact reason was not given, Failure to adopt is likely the main reason in addition to the lack of ROI for the owner who is not an active user of the system.",Customer,Customization and Flexibility,QBO-V3,Field Services,US,2/13/2024
"Jim had an issue with his Authorize.Net when he tried to connect it to Method. Our support team helped him with this and the conclusion was that it wasnt an issue with our platform and that he needed to contact Auth.Net for approval so he could take payments through ACH. However,  Jim said he didnt talk to them and that he doesnt want to use Method bc he found another software that helps him receive payments easily, without the issues he had with our payment gateway.",Transactions,Integration Needs,QBD,Utilities,US,3/22/2024
Your application is a could have been good for us. We are a small  up-start business and needed some of your functionality. The primary reason for not sticking with you was the need for some customization but no way to know how much time (money) that would cost to get us where we needed to be.,No Code,Customization and Flexibility,QBO-V3,"Automotive parts, repair and maintenance",US,3/12/2024
"No reference to Quickbook quote lookup.

Proposals not working without payment gateway.

Cannot custom Email on estimates per user.

Very expensive with an exchange of 18:1

Otherwise a great product.",Customer,Customization and Flexibility,QBO-V3,Wholesale and distribution services (MWD),ZA,2/18/2024
"Customer Feedback:customization times are too great with end results not being user friendly enough. Cost because to high with still too many glitches.

------

Internal Feedback:
Thinks the idea behind Method is great
Found the workflow and navigation throughout Method was a little choppy and not very smooth
They were hoping to achieve the following with customizations;
Create a quote > Convert to a Work Order > Convert in to an Invoice > Automatically create a sign off sheet that they send off to the customer.
They were hoping to do this without many clicks and as much automation as possible
Have a budget of about $2,500
During their Free Hour, they felt like their requests were addressed quickly
When they started their Pay Per Use, they realized that this was going to take a lot longer and more money than they hoped
They felt like there may have been a gap in experience between working with Thomas in their Free Hour and then with Zain in their Pay Per Use. They also said that Zain did a good job setting expectations and with his communication, just the overall investment to bring their requests to reality scared them off
I explained to Carl that we have a new consulting package that may be able to help them with their budget. I am going to send a follow up email speaking to PME vs PPU and see if they would be interested
Carl said to send this over and he will bring this to ownership to see if this is more aligned on what they are hoping for in regards to their budget. If so, they may reinstate their account and move forward with the work",Customer,Customization and Flexibility,QBO-V3,Manufacturing (MWD),CA,8/14/2024
Nothing you did. I had to open a new account in order to sync my QB account. Please do not bill me. I was still within the promotional period.,Connect,Timing and Readiness,QBO-V3,General service based,US,1/2/2024
Calendar functionality is limited and very important to us.,Service Delivery,Product Fit,QBD,Home Watch,US,2/8/2024
"Bad data, couldn't remove it, do not want to sync with Quickbooks which is one of the main reasons to use Method- thank you- this is not the product for us.",Connect,Integration Needs,QBO-V3,Construction,US,2/27/2024
"After thorough evaluation, we have decided that Method as a service does not meet our needs. The platform has proven to be buggy, unintuitive, and difficult to use without proper support—support that has been noticeably lacking. These issues have made it impossible for our team to utilize the service effectively.

During our trial period, we were unable to successfully send our email campaign due to these challenges. Despite this, we were charged for the month, even though payment did not resolve the issues we encountered.

We kindly ask that you forward this email to the appropriate representative to assist us in processing a refund and closing our Method account.

Thank you for your attention to this matter.",Sales,Product Fit,QBO-V3,,US,11/26/2024
Should be QBD.,Service Delivery,Integration Needs,QBO-V3,Home Watch,US,12/21/2023
Syncing inconveniences,Connect,Integration Needs,QBD,Wholesale and distribution services (MWD),US,4/22/2024
"integration with quickbooks is lacking.  crashed my quickbooks twice.  Also, i need the ability to allow method to generate unique estimate numbers only.  currently, i can only enable method to assign transaction numbers to ALL transactions... invoices, sales orders, etc.  not what i need.",Sales,Integration Needs,QBD,"Medical, pharma or biotech",US,5/29/2024
too slow to load. not perfectly syncing with quickbooks,Connect,Technical Issues,QBD,"Animal Services, Farming or Forestry",US,6/7/2024
Connected wrong QuickBooks File,Connect,Integration Needs,QBO-V3,"Medical, pharma or biotech",US,10/11/2024
"there isa no sales order for make to order jobs that can integrate with quickbooks online plus
that was the only reason for my trial",Sales,Integration Needs,QBO-V3,Other,US,10/26/2024
"After investigating other options, we wanted to let you know that Wedge will not be going forward with Method.

The team is now considering Scoro, a broader and more complete work management platform with advanced project management and CRM features, rather than sticking with its current stack of tools and going through the customization process with Method.

Lastly, Justin is a designer and mentioned he loved everything workflow and customization side but the interface did not gel with him",Customer,Product Fit,QBO-V3,"Advertising, marketing or PR",CA,2/8/2024
"customer was looking for a way to timetrack her billable services and create in-depth monthly statements/invoices to her clients. 

She found the Timetracking workflow added more time to her billing experience,  even with customization for batching multiple TT entries.",Customer,Product Fit,QBO-V3,Accounting and Bookkeeping,US,2/13/2024
"i dont want all customers to be synced from quickbooks, we have way to many customers from our online store. i wish we could only sync retail customers, or pick and choose which customers to sync",Connect,Integration Needs,QBO-V3,,US,9/9/2024
"The primary reasons that I am going to stay with the starter version of Salesforce.com with a possible move to a bigger version if more of our company decides to use it are:

1. Method bases everything off the contact.  We need everything based off the company with the ability to add multiple contacts to that company and opportunities related to that company. 
- I added many fields to the company profile, but the only way to see them was by going to the edit function.  There is a way to add them to the contact field, but that was clunky to me. 
2. The reporting in SFDC is much easier to customize. 
3. SFDC is multi-lingual.
4. The company, contact and opportunity screens are much easier to customize and adding fields is easier in SFDC. 
- It was difficult to change the items in a picklist in Method. 
5. The starter version of SFDC is $25/month paid annually.  That isn’t a major factor, but the starter version works for us right now. 
6. I didn’t need a lot of custom support, but I had pretty much tapped out my knowledge of Method with the customizations I did.  Anything more would need to be paid services.  I am able to customize SFDC and create reports without any paid support. 

Honestly, I am probably biased from the start because I have been using SFDC since 2005 with 3 different companies. Prior to that I was the Sales Automation Manager at a large company where I led the implementation of a CRM solution to 300+ sales reps.  After that, I spent several years selling CRM solutions and consulting services.  So, I was able to be involved in the customization and user adoption of the SFDC applications at the companies I worked for that used it.  I am obviously more familiar with SFDC and I understand it very well.  But I believe I did give Method an honest review and trial.  The issues above where the primary reasons I don’t believe it would work for us.",Sales,Integration Needs,QBD,"Automotive parts, repair and maintenance",US,3/27/2024
"I really like that you are fully customizable and give full access to our backend tables in QB.  We are moving to a field-service specific software.  Some of the things we had a tough time with were: * needing everything to work on mobile - our custom screens didn't work on mobile - I know this could have been fixed and we just didn't put enough effort into it.
* pic capture on a ticket would be helpful",Service Delivery,Product Fit,QBO-V3,Construction,US,11/1/2024
"Need more functionality and customization, moving toward PipeDrive & HubSpot Sales Hub",Customer,Product Fit,QBO-V3,Wholesale and distribution services (MWD),US,1/17/2024
"My wife went out and spoke to other crms and also spoke to jobber and jobber responded that they would be able to accommodate our needs and be under 100 Canadian which was they never gave me the info. I am writing to you regarding our conversation. 
Because of the 2 way text messages to clients and work orders not having the tax. I have to give you my 30 days notice 

You did say that you were in talks regarding the texts which is great but I cant wait that long for something
Also the work orders to have tax that was a a must from day 1 and it still not available and I have to pay extra every crm out there includes tax on work orders.",Service Delivery,Product Fit,QBO-V3,Field Services,CA,2/1/2024
I needed something that could do automated email funnels and provide some segmentation and easier reporting. I also found a solution that let me do mass/bulk emails to segments and allow that to happen in an automated sequence.,Sales,Product Fit,QBO-V3,"Communications, Entertainment and Media",US,2/5/2024
The App was great. It wasnt designed for what i was looking for. i needed a more complexed scheduling and invoicing system catering to Window Cleaning. Thank you though!,Service Delivery,Product Fit,QBO-V3,Field Services,US,11/6/2024
The problem here for them is that they think their software development team is very well expert in Method CRM customization. They wanted to understand more about the merge fields which we tried to help but they needed advanced custom workflow management. We asked them to work with the consulting team so their software developers could get proper guidance and do all the custom work in Method but they wanted all these business-specific workflows posted in our help center and declined to pay and seek help on paid consulting. We tried to help them provide value and solutions but they needed all this work to be done for free,Customer,Customization and Flexibility,QBO-V3,Software,US,8/9/2024
You did not let us down.  I decided that sales was not for me and the other person on the account never used it.,Sales,User Adoption,QBO-V3,Food and beverage,CA,3/20/2024
"Method did not let us down.  Internally a decision was made to switch to Monday.Com for its connectivity to other platforms and devices, its ease of use by users with minimal technical skills, and finally its ability to be easily customized by users.",Customer,Product Fit,QBO-V3,Travel and transportation,US,2/9/2024
i just dont know how to integrate properly with quickbooks.,Connect,Integration Needs,QBO-V3,IT and computer related,PA,7/22/2024
"already created a new account ohioschooloffalconry and want to use that and want to connect same qb files
account osf2 , added incorrect information and having difficulties with this account. 
Wanted to start from scratch.
Very interested in using Method",Connect,Integration Needs,QBO-V3,Education or Tutoring,US,11/15/2024
"Sync broke regularly and required days (occasionally weeks) for your software developers to find and fix the cause. Also, Microsoft Outlook integration continued to be terrible even two years after we started using Method.",Connect,Technical Issues,QBD,Other,US,3/20/2024
Created mistaken account again and synced to QBO because they used Sign Up with Intuit. Signing up for QBD now.,Connect,External Factors,QBO-V3,Construction,US,9/27/2024
You didn't .. We have new software (Netsuite Oracle) with Sales Force...,Sales,Product Fit,QBD,Wholesale and distribution services (MWD),US,1/17/2024
"David mentioned that he thought Method was more intuitive, and since he is 72 yo and needs to understand how to use QB better, he feels that its very overwhelming to learn two systems at the same time. 

Also, he said he is moving out from Jobber bc he wants to get rid of that middle platform and focus just on using QB for now.

I told him about having some training sessions and getting some extra help with the process, and he said that for now, he doesnt want to continue using Method, he just want to focus on understanding QB better.

He ended by saying that he might consider using Method in the future, once he has more expertise about QB.",Service Delivery,Timing and Readiness,QBO-V3,Repair and maintenance,US,3/20/2024
I have Quickbooks desktop where my qbooks data file lives on a server computer here in my office.  I have multiple users communicating to the data file all day.  Syncing Method with my desktop version and keeping it up to date constantly needs to be more seamless than it is.  The effort to keep Method synced up is too cumbersome.  It needs to be seamless and for an office with multiple users I don't have time to go through the process of syncing several times a day going in to single user mode and dealing with that.,Connect,Integration Needs,QBO-V3,Field Services,US,12/13/2023
It would have required extensive customizing to make it work for us and the time savings would have been minimal.,Customer,Customization and Flexibility,QBD,Construction,US,5/21/2024
"Its not easy to customize Methods platform by themselves.

They dont want to pay for their techs as users, they just want them to see their jobs assigned but consider its not necessary to pay for that.

They mentioned they needed a lot of customizations and they dont want to pay for that.



I offered to switch from prepay > monthly, add packing slip to WO if she doesnt want to add their techs, reduce users. She refused to all and requested a cancellation + partial refund",Customer,Customization and Flexibility,QBD,Construction,US,7/9/2024
