Client:,"Mobility City of Boca Raton, Springfield, Milpitas",,
Industry:,MWD & Field Services / Retail Distribution,,
Business Model:,"Selling, servicing, and distributing mobility equipment (wheelchairs, scooters, medical aids, etc.), which involves inventory management, dispatching technicians, and QuickBooks integration for invoicing and payments.",,
Profile Details,Mobility City of Boca Raton,Mobility City of Springfield,Mobility City of Milpitas
No. of Users,16 (est. users),10,7
Franchise Relationship,Head Franchise managing 54 locations.,Franchisee under Boca Raton.,Franchisee under Boca Raton.
Start Date with Method,"Converted on Apr 08, 2022","Converted on Mar 20, 2023","Converted on Jul 03, 2024"
Health Score,79 – Strong adoption and customization.,"51 – Lower adoption, potential usability concerns.","54 – Newer user, moderate engagement."
High Engagement,"11,037 web sessions, last login: Feb 16, 2025.","10,612 web sessions, last login: Feb 15, 2025.","1,581 web sessions, last login: Feb 15, 2025."
QuickBooks Power User,QBO Plus subscriber since Jun 2020.,QBO Plus subscriber since Mar 2023.,QBO Plus subscriber since Jun 2024.
Sync Experience,"Last full sync Jan 26, 2024, 2 conflicts.","Last full sync Dec 27, 2023, 125 conflicts.","Last full sync Jul 03, 2024, 101 conflicts."
Customization Usage,"159 custom screens, frequent automation.","159 custom screens, frequent automation.","159 custom screens, frequent automation."
Franchise-Specific Limitations,Likely setting CRM standards for franchises.,Multi-tenant restrictions limit feature flexibility.,Multi-tenant restrictions limit feature flexibility.
Support & Consulting Usage,Dedicated consulting since Aug 2022.,Dedicated consulting since Aug 2022.,Dedicated consulting since Aug 2022.
Payment Gateway Status,Connected.,Connected (Authorize.Net).,Not Connected – Possible financial workflow issue.
Research Focus,CRM strategy & customization impact,Adoption challenges/Usability,Onboarding & early stage user
Interview Direction,Boca Raton: Best for franchise-wide CRM strategy & customization impact.,Springfield: Understanding adoption challenges and data sync issues.,Milpitas: Onboarding feedback & early-stage user struggles.
#1,How Method CRM is used to manage multiple franchises.,What challenges exist for franchisees trying to adopt Boca Raton’s CRM standards?,"How was the onboarding experience, and what could be improved?"
#2,What customizations have had the biggest impact.,Why haven’t they customized their CRM experience despite its availability?,Why haven’t they customized or optimized their CRM workflows yet?
#3,How they standardize processes for franchisees and what challenges they face.,"What sync and usability issues cause friction, and how can they be improved?",What pain points exist in setting up payments and syncing QuickBooks?
,- managing different franchises (multi-tenancy questions),,
,,,
Other,,,
Mobility City,Distribution/Retail,Craig (Wednesday 2:30-3pm),https://method.method.me/apps/Default.aspx#/1c2404c6-cd50-49ca-975d-a2b5610419d6/S0s0eFJ6enBIU2d2ODlFM0R0V2hCUS0t
Vintage Makes,MWD,Darren (Friday 1-1:30pm),https://method.method.me/apps/Default.aspx#/1c2404c6-cd50-49ca-975d-a2b5610419d6/b21hdGEyb2poYjAycWQ1RWJaU2Q3Zy0t
Brown Safe,Manufacturing,Paul (Thursday 5-5:30PM),https://method.method.me/apps/Default.aspx#/1c2404c6-cd50-49ca-975d-a2b5610419d6/QnpSR25zQlR4aDlfdkhpXzgrZG12US0t
,,,
Notes,Some franchises don’t use method,,
,Direct questions towards Craig,,
