"Business Type - Medical equipment manufacturing, distribution, service","ICP Fit - Manufacturing, Warehousing, Distribution plus Service","Core Model - Sell, lease, rent, repair, upgrade equipment","Customers - Clinics, hospitals, medical practices",Complexity Level - High
,,,,
Tenure,Billing,Monthly Spend,Users,Commitment Signal
Since Aug 2023,Annual prepay ($8k),~$688 monthly equivalent,15 active users,Strong long term
,,,,
Apps/Packs,Usage Level,Notes,,
Contact Management,Heavy,System of record for customers,,
Sales Transactions,Heavy,"Estimates, sales orders, invoices",,
Sales Pipeline,Medium,Used by sales team,,
Equipment,Heavy,Core to business operations,,
Work Orders,Heavy,"Repairs, service, rentals",,
Field Crew,Medium,Assigned service work,,
Purchase Transactions,Medium,Purchasing tied to ops,,
Email Campaigns,Light but intentional,Product upgrade events,,
Dashboards and Reports,Heavy,Used across sales and service,,
,,,,
Sales,Operations,Service,Finance,
Quotes and estimates,Equipment tracking,Work orders,Invoice accuracy,
Sales orders,Inventory visibility,Field crew assignments,QBO sync,
Customer history,Process control,Repair workflows,Reporting trust,
,,,,
Area,Summary,,,
Company Profile,"Medical equipment manufacturer and distributor focused on sterilization systems, upgrades, rentals, repairs, and service. Customers appear to be clinics, hospitals, and medical practices.",,,
ICP Fit,"Strong fit for Manufacturing, Warehousing, and Distribution with a heavy service and equipment layer. This is a complex quote to cash and service operation rather than simple sales CRM usage.",,,
Team Size,"~39 employees with ~45 estimated users. 15 licensed Method users actively working across sales, service, and finance.",,,
Account Maturity,Long term Method customer. Signed up August 2023. Deep adoption with extensive customizations and ongoing DEP work through 2025 and 2026.,,,
Subscription Model,"Annual prepay subscription. Monthly equivalent cost ~$688 with meaningful pack coverage across sales, service, and operations. Shows commitment and budget ownership.",,,
Key Packs Used,"Contact Management, Sales Transactions, Sales Pipeline, Purchase Transactions, Email Campaigns, Work Orders, Field Crew, Time Tracking, Equipment, plus many custom apps.",,,
Custom Apps,"Heavy use of custom apps including Equipment, Companies, Purchase History, Credit Memo, Commission, Email Status. Method is acting as a system of record beyond CRM.",,,
Core Workflows,"Estimates to sales orders to invoices, equipment tracking, rentals and leases, service and repair work orders, purchase orders, commissions, and customer communications.",,,
QuickBooks Relationship,"QuickBooks Online Advanced is the financial source of truth. Method handles operational logic, workflow, UI, and data orchestration around QuickBooks.",,,
Customization Pattern,"Ongoing UI and logic improvements such as invoice grids, bulk printing, custom fields syncing to QBO, print templates, email tracking, and inventory visibility.",,,
DEP Usage,"Dedicated Enhancement Plan active since November 2024. Regular monthly work with a consistent consultant. Customization requests are incremental and operational, not experimental.",,,
Operational Maturity,"Very high. Their requests indicate clear internal processes and a desire to remove friction, reduce clicks, and improve visibility rather than redesign workflows.",,,
Product Depth,"Uses dashboards, reports, charts, email campaigns, field crew, and work order analytics. This is not light CRM usage.",,,
Internal Champions,"Multiple champions across sales, operations, and leadership including Craig, Kelsea, Angelique, and others. Adoption is not tied to a single user.",,,
Retention Signals,"High. Annual prepay, DEP engagement, continuous enhancement requests, and broad user adoption signal long term stickiness.",,,
PMM Value,"Excellent reference account for Manufacturing plus Service positioning, Customizable CRM story, DEP value, and QuickBooks centric operations at scale.",,,
