Title,Description,Estimated Difficulty,Solution,# of Requests,# of Accounts Req.,# of Users Impacted,Value,Tags,Note from Product
Leave blank to Auto-calculate - Blank Transaction Number - Blank Estimate Number - Blank Invoice Number,"The customer contacted us because their estimate numbers were not populating even though the screen says that if we leave the RefNumber field empty the number should auto calculate. 

Unfortunately this is not the case because the transaction could:

1.) Be wait for sync approval (and method numbering is turned off)
2.) Custom Numbering Might be on in QuickBooks
3.) The Transaction might be in conflict",Cannot be customized,"Unfortunately, at this time, there is no easy way to customize a warning to the user explaining why their transaction is not having a number assigned.",716,455,"2,687","1,414,800.00",Team_-_Sync,
Show Customer Balance Update in Realtime - Customer / Invoice Balance Not Updating after Payment,My client's balance on the invoice screen is showing 0.00 (I was the one who took his payment so I know he's all set) but his balance under the Customer Details is showing that he still owes the invoice amount. He will also see this when he logs into his portal which is incorrect. Can you please advise?,Cannot be customized,"The customer balance requires an active QuickBooks Connection to be updated at this time:

1.) The customer should check that QuickBooks is connected
2.) The customer should check if the Customer, Invoice, and Payment are not in conflict
3.) Lastly, if everything is working the Customer Balance should update in about 15 seconds.

We certainly can and should improve this experience; however, customization won't be a fool proof solution.",195,131,861,"460,800.00",Team_-_Sync,
Purchase History - Lifetime Customer Value - Last Invoice - Last Donation - Last Sales Receipt - Items Purchased,"Customer is looking to identify who their top customers are based on life time value.
They would also like to be able to track last invoice / sales receipt. 

This will allow them to know who is actively buying. 

The purpose of this is to classify customers into tiers.
Who are my top customers.",Catalog Entry Available,A catalog entry is available to solve this need.,168,160,577,"234,000.00",,"Phil Cote - Sep 26, 2024
Really interested in implementing this into the stock apps. Unfortunately with the no-code tools available as they are today, the implementation of the solution would not be technically viable as a stock offering (should not rely on this heavy app routine to run daily). 

Will likely be able to implement something into the stock apps via the Event Driven Architecture tools that the dev teams are working on, hopefully some time in 2025."
Add Credit Card Processing Fee to Invoices.,"Currently, the ability to add a convenience fee for paying by credit card is not available in QuickBooks Online. As a workaround, you would need to create a service item for the credit card convenience fee and manually add it as a line item on your customer's invoice to indicate the fee.

Can this be done automatically if a customer choose CC payment on Method Portal?

If this is not possible then can we add something like how we have in our Donor Page App? 
",Small (3 -4 hours),"Yes this can be done in the Customer Portal for when a Customer is paying off an Invoice. 

First we would need a table to hold all the possible Credit Cards that they accept. This table should hold fields like Name, Percentage Amount, Is Active. I would recommend being able to work with this table in either the Invoice Preferences or Payment Preferences.

Next we would need to have this table appear on Guest - View Invoice. We would show a dropdown where they can select which Credit Card they are going to use. On Apply, this will update the Invoice to show a new Invoice Line for the Credit Card charge. The Percentage Amount will work with the Invoice's Subtotal to come up with it's Rate. We would need to add screen logic to Show/Hide these payment options based off if a Credit Card charge has already been applied or if the Balance Remaining = 0.

If you want to apply this to do a Payment for your entire balance or for a bunch of selected Invoices off the Guest - Transaction List screen, this will balloon the time estimate.",165,148,389,"153,600.00",,
Attaching Terms & Conditions to Templates / Portal,"Customer would like their Terms and conditions attached to their email notification template and send via the Email button in estimates.

Additionally have this information appear on the Guest - View Estimate screen before customer sign.

Disclaimer on Template
Disclaimer on Portal",X-Small (1 -2 hours),"More information is required. 
Customization is possible however, read more below.

1.) We can re-design their terms and conditions directly into our template. This is probably the best case scenario but most expensive. 

2.) We can add a text box on the portal to highlight the terms and conditions and make them visible to the team.

3.) The customer can upload the attachment to the Estimate, and email the estimate & attachment together. We could also automate uploading / attaching this document to every estimate.",157,147,469,"199,200.00",,
Customer Job App - Sub Customer App - Contacts App Improvement,"Customer is looking for an app that organizes their sub-customers or customer jobs all in one central location. 

QuickBooks, indents the jobs and subs of a customers; however, Method just serves this up as one big list.
Making it difficult to find or manage jobs.

Keywords:
Subcustomers - Job of Customer - Sub Customer - View",Catalog Entry Available,This app is for users who want to separate their Companies from their Jobs. The Companies List screen displays a list of only parent Customer records. There is also a View Company screen included which has a list of Contacts and a list of Jobs for the active Company (Customer) record. Each of these grids has a row click into the Contacts app.,153,144,669,"271,800.00",,"Phil Cote - Sep 26, 2024
We are interested in solving and implementing this into the stock apps.
The options in terms of potential approaches for this with the no-code tools as they are today are not ideal, from a UI/UX perspective, and that's why we haven't implemented it yet.
The ideal potential solution in mind at the moment would be to have a ""sub-customers"" app ribbon tile that can be shown on the View Contact screen, which is just not possible currently. With the work Poiesis has been doing, hopefully this should be something that we can action soon, maybe end of 2024 - start of 2025."
Commissions App,"This is a full blown commissions app. Using this app you can calculate commissions for your sales reps based on various things that are calculated using the app including total sales, total margin, margin performance, etc.",Medium (5-10 hours),"Solution Available in the Customization Catalog

Commissions are incredibly personal.
This catalog solution likely requires some accompanying customization or may not even be a fit. 

Two versions are available in the catalog:
Lite - Simple percentage on Invoice Subtotal (can be set by rep / global)

Advanced - Takes Credit Memos, Target setting, and Profit Margin into consideration",150,138,422,"178,200.00",,
Outlook Calendar - Outlook Integration - Calendar Sync - Support for Outlook Calendar,"Customer Todd asked if the system integrates with Outlook Calendar for Activity and Work Order Tracking.

Is there a way to integrate the outlook calendar with the work order bookings calendar? I’d like to see Work Order bookings on the Outlook calendar, but I don’t think it is possible, which seems odd for such a well thought out software.",Should not be customized,"I do not recommend customization at this time, there are two flows that have been tried with limited success:

1.) Using Zapier to integration Outlook and Method, I wouldn't say this is a 'good' solution or 'good' work around for the customer. In most cases, we avoid this because there isn't a real-time 2-way sync etc.

2.) We've also suggested linking their Outlook calendar into Google Calendar so that the Google Sync happens and sends the information into the outlook calendar. Also not ideal for a number of reasons.",126,105,318,"137,400.00",,
Ability to Assign Work Order to Multiple Techs / Assign Activity to Multiple Users,"How would assigning work order to multiple techs work? 

Can we customize it so that, each teach can individual pull up the w.o on the field crew app and add their own notes/ time tracking. 

 These notes/time entries should update the singular W>O that they are all working on. 

Keywords:
assign-to, assign to, multiple assign-to, multiple assigned to, multiple assign to
Ability to select multiple assignee
multiple assignees",Medium (5-10 hours),"Can be done; however,may take upwards of 8 to 10 hours depending on details. This would be split up into two separate phases. 

Phase 1: Create the ability to assign Work Orders to multiple Method Users / Field Techs. 

Phase 2: Customized the Field Crew and Time Tracking  apps to allow Field Techs to view those Work Orders and track time towards the Customer.

Details
- Notifications and how should they be handled
- Are all technicians working off the same work order or individual work orders
- What is the experience for the user.",124,111,521,"199,800.00",,
Packing Slips - The ability to Create a Packing Slip for a Transaction,"The customer is just looking to convert an existing Estimate, Invoice, Sales Order or Work Order into an itemized list without any pricing.

This document would be used to attach with shipping to ensure the list of items is included.


Keywords:
Delivery Notes
Shipping Information
Delivery Info",Catalog Entry Available,"The solution here is quite simple, we would:

1.) Create a new button called Print Packing Slip
2.) Create a preference to keep track of the Packing Slip Template
3.) Create a new PDF template based on the transaction and remove all $ amounts from the pdf.",115,94,423,"207,600.00",,
