Question,PrimaryTeam (from Components) (from Specific),Specific,General Category,Summary
"The customer contacted us to request assistance in creating an additional field for an employee to have visibility to items in Estimates, Invoices, and PO's.","Customer,Transactions","customization,icr-cs,icr-ps,invoices","miscellaneous,general support & issue resolution,other","• User wants to create an additional field for an employee to have visibility to items he assists with in Estimates, Invoices, and PO's.
• The field should be named ''AP Admin'' and visible to all users.
• User wants the field to copy from Estimates to Invoices and PO's.
• Teammate can assist in creating the field on all screens, but collaboration with the consulting team is needed for copying between screens.
• Teammate and user had a screenshare session to add the field to Estimate and Invoice screens.
Chat Link"
The customer contacted us to schedule a screen share session with a consultant to add items with cost and markup to QuickBooks/Method.,,free hour booked - csr,"general support & issue resolution,other","Customer is a reseller looking to add items with cost and markup to QuickBooks/Method.
They have 1 hour of free customization with an expert consultant.
Consultant will schedule a screen share session for Tuesday at 12:30 EST.
Customer's phone number is 8477030038.
Customer will receive an email confirmation for the session. Chat Link"
The customer contacted us for help creating a report to sort the number of items sold.,,,general support & issue resolution,"• Customer needs help creating a report to sort number of items sold
• Teammate suggests viewing invoice reports for this information
• Customer unable to find ''Items'' and ''quantity'' in Integration and Sales Orders
• Teammate offers to access account to further investigate the issue
• Teammate provides instructions on how to view quantity of items sold
Chat Link"
The customer contacted us to resolve sync conflicts and remap items in Method CRM due to changes made by SOS inventory in QBO.,Sales,stockapps- howto- items,other,"Nate has a question about remapping items from QBO.
SOS inventory changed all inventory items to non-inventory in QBO.
Nate needs to remap items in Method CRM.
There are 1456 sync conflicts and the sync has been aborted.
Teammate resolved one sync conflict and created a case for support to look into the remaining conflicts. Chat Link"
"The customer contacted us for assistance with moving line items, adding bold letters, and excluding amounts from total on estimates.",,"icr-cs,icr-ps","miscellaneous,general support & issue resolution","Customer needs assistance with moving line items, adding bold letters, and excluding amounts from total on estimates.
Teammate suggests a screen-sharing session to address the issue.
Teammate fixes issue with approval requests on copied estimates.
Teammate creates cases for missing items and Outlook gadget installation.
Teammate offers customization services for desired outcomes. Chat Link"
The customer contacted us because they were unable to add the ''Shipping'' item to a sales order after two new features were implemented by Niharika Verma.,Customer,"customization,stockapps how-to","how-to,general support & issue resolution,other","Customer is unable to add an item to a sales order, specifically the ''Shipping'' item.
The issue started after two new features were implemented by Niharika Verma.
Teammate tried to replicate the issue and was also unable to add the ''Shipping'' item.
Niharika is investigating the issue and will provide updates.
Customer is away for the day but requests to be updated on the solution. Chat Link"
The customer contacted us because they were having trouble finding an item in search with its cost price.,Sales,"stockapps- howto- items,icr-cs,icr-ps","miscellaneous,other","Teammate investigated client's issue with an item not appearing in search with cost price.
Item was found when searching with cost price, but not the specific item mentioned in the video.
Teammate created a case for second-level support team to further investigate.
Case number is 56400 and a team member will be in touch with the customer.
Teammate asked customer to let them know if they have any further questions. Chat Link"
The customer contacted us regarding sync errors related to Item Sales Tax in Method and QuickBooks Desktop.,Connect,qbdt sync,"general support & issue resolution,other","Customer has sync errors related to Item Sales Tax in Method and QuickBooks Desktop.
Teammate is investigating the issue and has created a case for second level support.
Customer uploaded items using the import/other - itemnoninventory table without any errors, but the item in sync conflict was not created in Method.
Teammate has requested for the file used for import to further investigate the issue.
Teammate has added customer's contact information to the case notes for updates. Chat Link"
The customer contacted us because new items they created were not showing up in the item catalog or when searching for them in a work order.,Growth,stockapps training,stockapps & product-specific,"Customer created new items (DPF-C-444 and DPF-C-3933) in the item app but they are not showing up in the item catalog or when trying to search for them in a work order.
Teammate requested permission to access customer's account to investigate the issue.
Customer confirmed items were added today and agreed to a screenshare.
During the screenshare, teammate successfully added the items and searched for them in the items list.
Teammate offered further assistance and the call ended on a positive note. Chat Link"
The customer contacted us because they are missing items on their internal run sheet.,Customer,"customization issues,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","• Customer is missing items on their internal run sheet.
• Possible reasons include: QuickBooks Online settings, bundle/grouped items, and display limitations.
• Teammate requests more information and offers to access the account for further investigation.
• Teammate suggests a screen share to resolve the issue.
• Teammate provides a solution and checks in with the customer. Chat Link"
The customer contacted us because an invoice was not showing up in QuickBooks due to an incorrect income account selected for an item.,Transactions,invoices,general support & issue resolution,"Invoice #24096 not showing up in QB due to incorrect Income Account selected for item 'Genever'
Teammate accessed account and made necessary changes to item
Invoice has now been successfully synced to QuickBooks
Teammate checked in multiple times and provided prompt and helpful assistance
Customer confirmed changes and thanked teammate for their help. Chat Link"
The customer contacted us to find a way to manage multiple variations of one inventory item in Method.,"Customer,Sales","customization,stockapps- howto- items",other,"Customer is looking for a way to manage multiple variations of one inventory item in Method.
Teammate suggests using customization tools or consulting services to achieve this functionality.
Consulting services would be billable and have a current wait time of 15-20 business days.
Customer is interested in being able to choose the variation of a product when creating an estimate.
Teammate closes the chat, but offers to assist with consulting services if the customer still wants to proceed. Chat Link"
The customer contacted us for help with deleting items from their Purchase History.,Customer,catalogues- purchase history/ items purchased by customer,other,"• Method Help Bot is unable to directly answer the question about deleting items from Purchase History.
• The teammate asks for more details about the platform or software being used.
• The teammate checks in to see if the customer still needs help.
• The teammate offers to continue the conversation if needed.
• The teammate closes the chat but remains available for further assistance.
Chat Link"
The customer contacted us because they were having trouble with a specific item not displaying in print view.,"Sales,Customer","stockapps- howto- opportunities,customization issues","general support & issue resolution,other","Customer is having trouble with ''show room'' item and specific areas not displaying in print view.
Teammate asks for screenshot and permission to access account.
Customer gives permission and provides opportunity number.
Teammate discovers issue with proposal template and customer resolves it by changing item number.
Customer thanks teammate and conversation ends. Chat Link"
The customer contacted us because they were having trouble with an item not saving a specific setting.,Sales,stockapps- howto- items,other,"Customer had an issue with an item not saving the ''used on purchase transactions'' setting.
This issue may occur for Service and Non-Inventory items in QuickBooks Online.
To resolve the issue, the customer needs to enable the ''I purchase this service from a supplier'' checkbox and add a cost for the item.
After making these changes, the item should be visible in vendor transactions.
The customer was satisfied with the bot's answer. Chat Link"
The customer contacted us to inquire about sorting an item report alphabetically by artist.,,,general support & issue resolution,"• Customer asked if an item report can be sorted alphabetically by artist
• Teammate confirmed that it is possible and provided steps to do so
• Teammate offered to connect with the customer if needed
• Customer thanked and informed that they figured it out on their own
• Teammate expressed happiness and offered further assistance if needed. Chat Link"
The customer contacted us for assistance with adding an item to their printed invoice.,"Customer,Transactions","customization,invoices",other,"• To add an item to the printed invoice, follow these steps: open the invoice, add the item to the grid, save the invoice, and review the total.
• If the item still does not appear, check the invoice template settings and ensure all necessary fields are included.
• If you need help customizing your print template, refer to the provided articles.
• The teammate checked in with the customer multiple times and offered to continue helping if needed.
• The teammate closed the chat and encouraged the customer to reach out again if needed.
Chat Link"
The customer contacted us because they are experiencing API errors when trying to sync items from their WP website to Method.,Connect,api,integrations & connectivity,"Customer is experiencing API errors when trying to sync items from their WP website to Method.
The error codes indicate missing or invalid fields, specifically Quantity on hand and Invstartdate.
Customer does not have these fields in WP and is unsure if they are auto-generated by Method or QuickBooks.
Teammate suggests correcting or adding data to these fields and provides resources for API support.
Teammate also suggests reaching out to a developer for assistance with building the connection to Method. Chat Link"
The customer contacted us to report a technical issue with item search in mobile view and to inquire about inactive inventory items in their Akron account.,Service Delivery,mobile app,integrations & connectivity,"Customer is experiencing a technical issue with item search in mobile view.
Teammate requests permission to access account to investigate.
Teammate suggests updating settings to include description field for search.
Customer also asks about inactive inventory items in Akron account.
Teammate explains that inactive items are shown in the inventory items filter view and suggests creating a custom filter to only show active items. Chat Link"
The customer contacted us because they were having trouble making an item inactive in QuickBooks.,Sales,stockapps- howto- items,other,"• Customer tried to make an item inactive, but a dialogue box appeared.
• Teammate asked for permission to access the account and the name of the item.
• Teammate suggested marking the item as inactive instead of deleting it.
• Teammate asked customer to add a start date to the item in QuickBooks and try making it inactive again.
• Customer realized the record doesn't exist in QuickBooks and asked if it would be best to delete the Method Record. Chat Link"
