Question,PrimaryTeam (from Components) (from Specific),Specific,General Category,Summary
The customer contacted us to resolve sync conflicts and remap items in Method CRM due to changes made by SOS inventory in QBO.,Sales,stockapps- howto- items,other,"Nate has a question about remapping items from QBO.
SOS inventory changed all inventory items to non-inventory in QBO.
Nate needs to remap items in Method CRM.
There are 1456 sync conflicts and the sync has been aborted.
Teammate resolved one sync conflict and created a case for support to look into the remaining conflicts. Chat Link"
The customer contacted us to find a way to manage multiple variations of one inventory item in Method.,"Customer,Sales","customization,stockapps- howto- items",other,"Customer is looking for a way to manage multiple variations of one inventory item in Method.
Teammate suggests using customization tools or consulting services to achieve this functionality.
Consulting services would be billable and have a current wait time of 15-20 business days.
Customer is interested in being able to choose the variation of a product when creating an estimate.
Teammate closes the chat, but offers to assist with consulting services if the customer still wants to proceed. Chat Link"
The customer contacted us regarding sales orders showing 0 quantity despite correct updates on POs and inventory.,,"stockapps how-to,icr-cs,icr-ps","miscellaneous,how-to,general support & issue resolution","• Sales orders showing 0 quantity, while POs and inventory are updating correctly
• Syncing sales orders with QuickBooks is necessary to update quantity on sales orders
• Upgrading QuickBooks from Pro to Premier or Enterprise allows for syncing of sales orders
• Customization options are available for updating sales order quantity without syncing with QuickBooks, but may have limitations and are billable services
• Scoping out for customization is also a billable service
Chat Link"
The customer contacted us to report a technical issue with item search in mobile view and to inquire about inactive inventory items in their Akron account.,Service Delivery,mobile app,integrations & connectivity,"Customer is experiencing a technical issue with item search in mobile view.
Teammate requests permission to access account to investigate.
Teammate suggests updating settings to include description field for search.
Customer also asks about inactive inventory items in Akron account.
Teammate explains that inactive items are shown in the inventory items filter view and suggests creating a custom filter to only show active items. Chat Link"
The customer contacted us for help with using the CRM and tracking inventory using multiple units of measurement.,Sales,stockapps- howto- items,other,"Briand is a new customer who needs help with using the CRM and tracking inventory using multiple units of measurement.
The teammate offers a 30-minute onboarding call to answer questions and show how to use the CRM.
The teammate asks for an example of how Briand wants to track inventory and suggests using inventory items on invoices and syncing with QuickBooks.
The teammate offers a personalized demo with a Success Manager for a better understanding of the CRM.
The teammate checks in multiple times and offers to continue the conversation if needed. Chat Link"
The customer contacted us for assistance with inventory syncing issues.,Connect,"qbo sync,icr-cs,icr-ps","miscellaneous,general support & issue resolution,financial & payments","Method's Help Bot is available to answer questions and refer customers to a team member if needed.
Changing Quantity on Hand in Method will sync with QuickBooks, but the field is typically read-only and calculated from invoices and sales receipts.
Method and QuickBooks sync inventory data to ensure consistency between the two systems.
Customers can reach out to Method's support team for assistance with any inventory syncing issues.
A teammate checked in with the customer and offered to continue the conversation if needed. Chat Link"
The customer contacted us for help with exporting data from reports and a bigger issue with inventory tracking and reporting.,Admin,data import/export,"general support & issue resolution,other","Customer is experiencing issues with exporting data from reports, specifically with items only showing headers.
Teammate suggests checking for correct fields and filters, and offers to access the account for further investigation.
Customer also mentions a bigger problem with inventory tracking and reporting, and teammate recommends contacting the customization team for a solution.
Teammate shares a pay-per-use agreement for customization services.
Teammate follows up and offers to continue the conversation if needed. Chat Link"
The customer contacted us with questions about adding pictures to items in their inventory in Method:CRM.,Customer,customization,other,"• Customer has questions about Method:CRM and wants to add pictures to items in the inventory.
• Teammate suggests customization and consulting services, which start at $145/hour.
• Customer agrees to move forward and signs pay-per-use agreement.
• Case is created and customer will be added to the queue for professional services.
• Teammate confirms completion and offers assistance for any additional questions.
Chat Link"
The customer contacted us for assistance with adding a new inventory item with the same name but different identifier.,Sales,stockapps- howto- items,other,"• User is having trouble adding a new inventory item with the same name but different inventory name.
• Method Help Bot provides steps to add a new item with the same name but different identifier.
• If duplicates are not allowed, the ''Insert Records Into Table'' action can be used to duplicate an existing record.
• Teammate offers to assist and checks if the user is still there.
• Teammate closes the chat but offers to continue the conversation if needed. Chat Link"
The customer contacted us regarding a general sync conflict error when modifying an ItemInventory list.,Connect,sync conflicts,general support & issue resolution,"Customer reported a general sync conflict error when modifying an ItemInventory list.
The error message stated that an inactive parent cannot have an active child.
The team will reply to the customer's email within a few minutes.
The teammate requested permission to access the customer's account to further investigate the issue.
The teammate created a case for the issue and provided the customer's direct number for contact. Chat Link"
The customer contacted us to confirm the connection between Method and QuickBooks and to inquire about updating inventory stock during temporary downtime.,Connect,qbo sync,"general support & issue resolution,financial & payments","Customer is a new Method customer and wants to confirm if something is linked between Method and QuickBooks.
Teammate provides steps to see the connection between QuickBooks and Method.
Customer is planning for temporary downtime for company and wants to know if they can update inventory stock through Method during this time.
Teammate confirms that customer can create items in Method and once the sync is reconnected, all information will be updated.
Customer thanks teammate and ends conversation Chat Link"
The customer contacted us to discuss potentially closing their Method account due to difficulties with integrating inventory management and ERP functions with Quickbooks.,Customer,customer management,general support & issue resolution,"Greg is considering closing his Method account due to trouble integrating inventory management and ERP functions with Quickbooks.
The teammate suggests adding and removing packs to simplify processes and increase efficiency.
The teammate offers to schedule a call with the customer's success manager to discuss cancellation.
The customer confirms a time for the call and receives a confirmation email.
The customer accepts the invite and thanks the teammate. Chat Link"
The customer contacted us for assistance with inventory not showing up in Method from their main warehouse with bin locations.,Sales,stockapps- howto- items,"general support & issue resolution,other","Customer needs help with inventory being pulled from unspecified location on invoice 696241.
Teammate requests more details and permission to access account.
Customer explains inventory is stored in main warehouse with bin locations, but not showing up in Method.
Teammate suggests customization and recommends contacting John Sandy for assistance.
Customer confirms they will discuss next steps and no further assistance is needed at this time. Chat Link"
The customer contacted us for assistance with importing new noninventory items into Method.,Admin,data import/export,"general support & issue resolution,other","Method only allows for updating existing records, not creating new ones when importing data.
To import new items, the file must include a RecordID column and the ''Import records'' option must be selected.
Method automatically generates a RecordID for new records.
The customer's new records are noninventory items and should be imported under the ''itemNoninventory'' table.
If the import is incorrect, it must be manually deleted as there is no undo option. Chat Link"
The customer contacted us to inquire about inventory tracking options in Method CRM.,,fin answered,other,"Method CRM does not have a standalone inventory tracking feature without syncing to QuickBooks.
The Items app in Method allows for basic inventory tracking for QuickBooks Online users.
QuickBooks Desktop users with Advanced Inventory can sync additional features like site tracking, lot numbers, and serial numbers.
Advanced inventory options may require customization.
Teammate offers to explore customization options if customer shares specific requirements. Chat Link"
The customer contacted us to inquire about adding a box showing the location of inventory items in their warehouse.,Customer,"customization,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Customer wants to add a box showing location of inventory items in warehouse
Teammate confirms and asks for specific details
Customization is needed for this feature
Teammate provides article and offers billable customization service
Customer will discuss with manager and decide on next steps. Chat Link"
The customer contacted us to report an issue with the ''each'' option disappearing in their QuickBooks inventory.,Sales,stockapps- howto- items,other,"• Customer reported an issue with the ''each'' option disappearing in their QuickBooks inventory.
• Teammate requested permission to access the customer's account to investigate the issue.
• Customer granted permission and confirmed that the ''each'' option is available in their QuickBooks.
• Teammate requested a screenshot of the sync engine to further troubleshoot the issue.
• Customer later reported that the ''each'' option had reappeared and the issue was resolved.
Chat Link"
The customer contacted us for help with receiving inventory from purchase orders in Method.,Customer,customization,other,"• Customer is looking for help with the process of receiving inventory from purchase orders in Method.
• Teammate suggests contacting Joanna Cerejo for assistance with converting purchase orders to bills.
• Teammate also mentions a personalized add-on that can be integrated into the customer's account to align with their needs.
• Teammate will inform customer when the add-on has been successfully added to their account.
• Customer provides email and contact number for notification. Chat Link"
