Quarter,Project / Outcome,Problem,Solution,Opportunity,Status,Primary Revenue Lever,Core Metrics & KPIs,Mechanism — Why We Believe This Will Work,Target Improvement (Estimate),Time to Impact (Ship | Impact),Customer Segment,Reach,T-Shirt Size Impact,Confidence,T-Shirt Size Effort,Score,Priority
INVENTORY MLP — ACTIVE BUILD,,,,,,,,,,,,,,,,,,
Q1 2026,"Accounting Fulfillment Loop — Customers experience accurate, connected fulfillment flows that prevent revenue leakage and accelerate time-to-cash.","When inventory is sold or received, QBO accounting entries are disconnected from inventory events — creating reconciliation errors, delayed revenue recognition, and broken trust in Method as a system of record.","Automated accounting triggers tied to inventory transactions (sales, receipts, adjustments) that keep QBO balances in sync with real inventory movements.","Eliminates the #1 reason MWD customers manually reconcile books — builds trust in Method as the source of truth and directly reduces churn risk from incomplete QBO sync.",In Design,Retention,"1. QBO sync error rate (target: <1%)
2. % of accounts with 0 manual reconciliation entries/month
3. 30-day retention for accounts using the fulfillment loop","When customers trust that inventory transactions auto-post accurate accounting entries, they reduce manual work and rely more heavily on Method — increasing stickiness and reducing churn.",TBD — baseline in discovery,Ship Q1 2026 | Impact Q2 2026,"Distribution, Manufacturing, Hybrid","5  > 70% of MWD accounts","5 High","3 Reasonably Confident, Indirect Data Signals","3 M",16,P1
Q1 2026,"Stock Transfers — Customers can rebalance stock, prevent shortages, and maintain fulfillment continuity through controlled stock transfers between locations.","Users with multiple locations have no in-app way to move inventory between them. Manual adjustments break the audit trail and create phantom inventory discrepancies.","In-app stock transfer records to move inventory between active locations with full transaction history, quantity updates, and location accountability.","Completes the multi-location management loop. Makes multi-warehouse operations functional end-to-end — the final piece of the Phase 1 inventory build.",In Design,Retention / Expansion,"1. % of multi-location accounts creating ≥1 stock transfer/month
2. Avg locations configured per account
3. 30-day retention for multi-location accounts","Completing the transfer workflow closes the main functional gap in multi-location management, making the feature set fully usable for distribution-heavy accounts and reducing churn from workaround fatigue.","15% of multi-location accounts complete a stock transfer within 30 days of GA",Ship Q1 2026 | Impact Q2 2026,"Distribution, Hybrid, Multi-warehouse Manufacturing","3  > 30–70% of MWD accounts","4 High","5 Very Confident, Direct Data Signals (Kano DS: -0.82 — Partner + PS unanimous)","3 M",15,P1
INVENTORY MLP — PHASE 2,,,,,,,,,,,,,,,,,,
Q2 2026,"Reorder Points & Low Stock Alerts — Customers receive early visibility into low inventory and clear replenishment signals, enabling timely purchasing and reducing fulfillment risk.","Without proactive alerts, customers discover stockouts only when an order can't be fulfilled — causing emergency purchasing, delays, and customer dissatisfaction. Currently managed with spreadsheets or memory.","1. Set minimum reorder points and quantities per item.
2. Low-stock items surfaced in Inventory Center with alert indicators.
3. One-click PO creation from alert.","Shifts MWD customers from reactive to proactive inventory management — reducing operational chaos and creating a clear, demonstrable ROI moment for Method.",Not Started,Retention,"1. % of low-stock alerts resulting in PO created within 7 days
2. Stockout frequency per account (before vs. after)
3. Feature adoption: % of accounts with reorder points set within 60 days","Customers who proactively manage reorder points experience fewer stockouts. Fewer stockouts = less operational pain = lower churn risk. Creates a measurable ROI story that partners can sell.","X% of low-stock alerts result in PO within 7 days — TBD baseline",Ship Q2 2026 | Impact Q3 2026,"Distribution, Wholesale, Hybrid","5  > 70% of MWD accounts","5 High","5 Very Confident, Direct Data Signals (Kano DS: -0.82 — tied highest dissatisfaction when absent)","3 M",18,P1
Q2 2026,"Item Audit Trail — Customers gain confidence, audit readiness, and operational transparency through a detailed history of item-level changes and transactions.","When inventory discrepancies occur, users have no way to trace what changed, when, or who made the change — forcing manual investigation and eroding trust in Method's data. Critical for regulated industries (medical, chemical, food).","1. Comprehensive event log: quantity changes, location moves, pricing edits, user actions.
2. Each event shows timestamp, user, and action type.","Enables compliance-ready operations for regulated segments (Medical & Healthcare). Builds long-term trust in Method as the inventory system of record. Kano data supports elevation from original P3 to P2.",Not Started,Retention / Acquisition,"1. % of accounts viewing audit trail ≥1x/week
2. Adoption rate by Medical & Healthcare segment (47% Very High complexity)
3. User satisfaction: audit trail helps me understand inventory changes","Regulated industries (Medical, Chemical) require audit trails for compliance. Accounts with compliance needs met by Method are harder to churn and more likely to refer others. Zero Indifferent responses in Kano — a must-have, not a nice-to-have.","X% of accounts view item audit trail at least once/week — TBD baseline. Kano DS: -0.73",Ship Q2 2026 | Impact Q3 2026,"Medical & Healthcare, Chemical, Manufacturing — all high-complexity MWD","3  > 30–70% of MWD accounts","5 High","5 Very Confident, Direct Data Signals (Kano Must-have: 6/11 respondents, zero Indifferent)","3 M",16,P2
Q2 2026,"Backorder Awareness — Customers maintain sales momentum and customer satisfaction by supporting controlled backorders with clear visibility into fulfillment readiness.","When inventory is insufficient to fulfill a sales order, users either lose the sale or process it inaccurately. No structured backorder workflow exists — a critical gap for manufacturers with long production lead times.","1. Override insufficient inventory to place items on backorder without interrupting the sales flow.
2. Visual backorder indicators on transaction line items.
3. Dedicated backorder queue for monitoring pending orders.
4. Manual update flow when inventory is replenished.","Enables MWD customers to maintain sales flow during stock shortages — directly addressing one of the top churn reasons: inability to process orders when inventory is low.",Not Started,Retention / Acquisition,"1. % of SOs with backordered items fulfilled within 30 days
2. User satisfaction: backorder feature helps me manage stockouts effectively
3. Adoption rate among manufacturing accounts","Manufacturers and distributors regularly face backorder scenarios. A native workflow removes the most common manual workaround and eliminates ""missing features"" as a churn reason for accounts with long production lead times.","X% of backorders fulfilled within 30 days — TBD baseline",Ship Q2 2026 | Impact Q3 2026,"Manufacturing, Distribution, Hybrid","3  > 30–70% of MWD accounts","3 Medium","3 Reasonably Confident, Indirect Data Signals","3 M",12,P2
Q2 2026,"Lightweight Bin Management — Customers can structure inventory within locations to streamline fulfillment operations without introducing heavy operational complexity.","Within a single warehouse location, users cannot track where items are stored — leading to picking inefficiencies, fulfillment errors, and slower operations for mid-size distribution accounts.","Enable bin/zone-level assignment for inventory items within a location. Surfaced during picking and restocking workflows.","Bridges the gap between basic multi-location tracking and full WMS functionality — makes Method viable for the Distribution segment without requiring enterprise WMS adoption.",In Design,Expansion / Retention,"1. % of W&D accounts assigning bin locations to ≥10% of items within 90 days
2. Fulfillment time change (before vs. after)
3. Churn rate for accounts using bin management vs. those that don't","Bin-level organization reduces picking errors and fulfillment time, making Method stickier for distribution-heavy accounts that need operational structure beyond simple location tracking.","15% of W&D accounts assign bin-level locations to 10% of items within 90 days",Ship Q2 2026 | Impact Q3 2026,"Distribution, Hybrid","2  < 30% of MWD accounts","3 Medium","3 Reasonably Confident, Indirect Data Signals","3 M",11,P2
INVENTORY MLP — PHASE 3,,,,,,,,,,,,,,,,,,
Q4 2026,"Item Visualization — Customers can quickly identify items and reduce selection errors using attached imagery that stays current over time.","Without images, reps and customers rely solely on item codes and descriptions to identify products — increasing errors on orders, especially for companies managing large or visually similar SKUs.","1. Upload and attach one or more images per inventory item.
2. Support easy update/removal to keep visual data current.","Reduces SKU confusion and selection errors — improves both internal and customer-facing order accuracy for product-heavy industries like Consumer Goods and Electronics.",Not Started,Retention / Acquisition,"1. % of items with images attached within 90 days of GA
2. Order error rate change (before vs. after)
3. Adoption by Consumer Goods and Electronics segments","Visual product identification reduces pick errors and order corrections. Strong upsell hook for product-heavy industries that value presentation in customer-facing documents.",TBD,Ship Q4 2026 | Impact Q1 2027,"Consumer Goods, Electronics, Wholesale","3  > 30–70% of MWD accounts","2 Low","2 Low Confidence, Limited Data Signals","3 M",10,P3
