Category,Terminology,Definition,Quotes: What Craig said,Impact,Method's Role,Quotes: What Craig said
Franchise & Multi-Entity Operations,Franchise System,A business model where individual locations operate under a unified brand with standardized processes.,,,,
,Franchise Compliance,"Ensuring all franchise locations follow corporate-mandated processes, branding, and reporting requirements.","“I’ve been publishing once a month the compliance report. Through the month of January, we were 66% compliant. Some are still using QuickBooks, some are on paper, and the rest are in between.”",,,"“If they’re creating the sales transaction in QuickBooks or creating it in Method like we want them to do, we can measure those things.”"
,Operating & Brand Standards,Guidelines that franchisees must adhere to for maintaining consistency across all locations.,,,,
,Multi-Entity Reporting,The ability to track financials and sales across multiple independent franchise locations.,"“What the goal was is I need a report that shows me the exact things people are selling. In the old world in QuickBooks, people have the ability to call those things whatever they want.”",,,
,Centralized POS System,A single point-of-sale platform used across all locations to standardize transactions.,,,,
,Franchise Adoption,The rate at which franchisees implement and use the mandated technology or processes.,,,,
Retail & Sales Operations,Point of Sale (POS),The system used to process sales transactions and accept payments in-store.,,,,
,Sales Receipt Standardization,Enforcing uniform product naming conventions in transactions across franchise locations.,,,,
,Inventory Management,The tracking of product stock levels across multiple locations.,"Craig Kreakie:
""What the goal was is I need a report that shows me the exact things people are selling. In the old world in QuickBooks, people have the ability to call those things whatever they want. So, if I have this blue pen, pretend Store A calls this 'giraffe' and Store B calls this 'elephant.' So when I try to report in the reports, they appear as two different things, but in reality, they’re one.""","By forcing franchisees to use a standardized inventory system in Method CRM, the company gains full visibility into stock movement across all locations.","Craig Kreakie:
""So what we did was we standardized the items within Method, and then now they have to use the Method sales receipt. So we can control the cash register, meaning we’re controlling the item numbers that they’re selling so that we have reports that we can now share, use ourselves, but also share with them on how they’re doing.""",
,SKU (Stock Keeping Unit),A unique identifier for each product to standardize inventory tracking.,,,,
,Sales Transaction Flow,The structured process of moving a customer purchase from order to payment to recordkeeping.,,,,
,Merchant Services Provider,A third-party service that processes credit card transactions for retail businesses.,,,,
,Retail Data Visibility,"The ability to track sales trends and customer purchases across multiple locations. Without a centralized view of product sales, businesses cannot track sales performance across locations.","Craig Kreakie: “What the goal was is I need a report that shows me the exact things people are selling. In the old world in QuickBooks, people have the ability to call those things whatever they want... So we had to standardize the naming conventions.”",Lack of standardized sales tracking across franchises,,
,,,"Craig Kreakie: “If we don’t have the information, we can’t behave like a national company managing 150 stores. We need to see what products are selling so we can negotiate better pricing with suppliers.”",Impact on supplier negotiations and strategic decisions,,
,Product Family Level Reporting,Organizing sales data by broader product categories instead of individual SKUs.,,,,
Service & Repair Business,Work Order Management,The process of tracking repair and service jobs from request to completion.,"Craig Kreakie:
""So with the end in mind, we then built workflows. As people were doing the service part of the business—because that’s the more complicated piece, not the selling of equipment, but the rentals, the work orders, and then somewhat the sales—we had to create more of a workflow.""",,Custom workflows were built in Method CRM to capture the necessary data for reporting and standardization.,"Craig Kreakie:
""So with the end in mind, we then built workflows. As people were doing the service part of the business—because that’s the more complicated piece, not the selling of equipment, but the rentals, the work orders, and then somewhat the sales—we had to create more of a workflow."""
,Equipment Database,"A centralized list of all rental or serviced equipment, including customer history and maintenance records.","Craig Kreakie:
""That’s where we kind of combined this equipment database concept into the workflow concept, and in the end, we have this report now that is available.""","This ensures that each service job is linked to specific equipment, which improves customer service and maintenance tracking.","Work order tracking was integrated with an equipment database, allowing Mobility City to keep a history of repairs and rentals for each piece of equipment.","Craig Kreakie:
""That’s where we kind of combined this equipment database concept into the workflow concept, and in the end, we have this report now that is available."""
,Service Workflow,The defined steps technicians follow when performing repairs or maintenance on mobility equipment.,,,,
,Rental Management,"Tracking short-term equipment rentals, including scheduling, billing, and returns.",,,,
,Repair vs. Replace Decisioning,Determining whether an item should be repaired or replaced based on cost and usability.,,,,
Accounting & Financial Reporting,Revenue Reporting,"Tracking income from sales, rentals, and services at each franchise location.","Craig Kreakie:
""As a franchisee, they have an obligation to report their revenues, but the next question was: okay, what’s the details of their revenues? There’s no answers because everyone is running their own financials and running their own transactions.""","Lack of centralized revenue tracking makes it difficult to analyze sales trends, negotiate supplier pricing, or forecast growth in multi-location businesses.","Method standardizes sales tracking, ensuring franchise-wide revenue visibility.","Craig Kreakie: “Now they have to use the Method sales receipt, so we can control the cash register, meaning we’re controlling the item numbers that they’re selling so that we have reports that we can now share, use ourselves, but also share with them on how they’re doing.”"
,Accounting Integration (QuickBooks + Method),Syncing sales and financial data between the CRM and QuickBooks.,,Businesses relying solely on QuickBooks struggle with multi-entity tracking because each location maintains its own records without centralized oversight.,Method syncs transactions with QuickBooks while enforcing standardized data entry and reporting.,Craig Kreakie: “We keep adding different security layers and controls with how we want our people to use Method.”
,Item-Level Standardization,Ensuring products and services have the same names across all locations for accurate reporting.,"“What the goal was is I need a report that shows me the exact things people are selling. In the old world in QuickBooks, people have the ability to call those things whatever they want… We had to standardize the naming conventions.”","Without standardized product names (SKUs), businesses can’t track inventory, analyze bestsellers, or manage bulk purchasing effectively.","Method enforces standardized SKUs, ensuring consistent reporting across locations.","“So what we did was we standardized the items within Method, and then now they have to use the Method sales receipt.”"
,Financial Visibility & Data Hierarchy,"Structuring revenue, sales, and transaction data for analysis.",,,,
System Adoption & Technology Integration,User Compliance Report,A report tracking which franchises are properly using the CRM system.,,,,
,System Stability Issues,"Technical problems that disrupt operations, such as POS failures or software glitches.",,,,
,Security Layers & Controls,Features designed to prevent franchisees from bypassing required workflows in the CRM.,,,,
,Custom Screens & Workflows,Tailor-made interfaces and processes in a CRM to meet specific business needs.,,,,
,CRM Customization for Multi-Entity,Adapting CRM software to fit the needs of a franchise or multi-location business.,,,,
Adoption & Change Management,Change Resistance,"Franchisees preferring older systems (QuickBooks, paper-based processes) over new technology.","Craig Kreakie:
""When I came on board a year ago, my boss said, 'We are not changing again. You have to use Method.' And right away, I didn’t like Method because I didn’t like the way it was originally designed. But at that time, I didn’t realize how customizable it was.""",,,
,Enforcing Compliance through Legal Means,The franchisor’s right to mandate technology adoption per franchise agreements.,,,,
,Iterative Deployment,Rolling out system changes in phases instead of all at once.,,,,
,Error-Proofing Workflows,Designing processes to prevent mistakes or bypassing of standard procedures.,,,,
