Description,GPT Category,TeamA,Estimated Difficulty,# of Accounts Req.,Category,Old Team A,Team Dependent
Customer is looking to explore a direct API integration between Method and SOS inventory.,Integrations,Connect,Large (10 - 30 hours),17,Integrations and APIs,Integrations,
"Customer is currently using Shopify as their primary inventory management tool.

They do not have a full integration with QBooks inventory due to perceived limitations. 

They are wondering what the Zapier or API avenue could look like if they want to connect Shopify and Method directly with a focus on items.

In essence, when a item is added to a Work Order or invoice in Method, can we update Shopify inventory and verse versa.",Integrations,Connect,Large (10 - 30 hours),15,Integrations and APIs,Integrations,
"Customer is a paving company and utlize the advanced inventory features of QB Enterprise. 

They would like to ability to sync and manage two warehouses.

They like the ability to use Work Orders or Sales Orders to reduce on hand quantity but would love it if they are able to see on hand for each warehouse and be able to pull inventory from a specific warehouse.",Inventory and Financial Management,Sales,Cannot be customized,14,Inventory and Asset Management,Integrations,Stock Apps
The customer would like to know if  it is possible to inventory by location. Use case: 'Ideally the tracking would be part of live operations so that we're accurately able to fulfill orders from the appropriate warehouse',Inventory and Financial Management,Sales,Large (10 - 30 hours),10,Inventory and Asset Management,Stock Apps,
"Include the ability to track items receipt in Method and sync back to QB.
Customer handles a large amount of inventory processing from vendors. 

Purchase order to bill flow is essential for their business.",Inventory and Financial Management,,Catalog Entry Available,7,,,
"A Bill of Materials (BOM) is a comprehensive list of all the raw materials, components, and assemblies required to manufacture a product. It includes the quantities of each material needed and may also detail other aspects like the labor required, tools, and instructions for manufacturing.

Components of a BOM:
Part Number/Item Code: Unique identifier for each component.
Description: A brief description of the component or material.
Quantity: The amount of each component required for manufacturing.
Unit of Measure: How the quantity is measured (e.g., pieces, kilograms).
Cost: The cost of each component or material.
Supplier Information: Details about where the material is sourced.
Assembly Instructions: Steps or methods required to assemble the product.
Lead Times: Time required to procure or manufacture each item.
Accounting Workflow: Item Receipt + Converting to Bills and Customer Invoices
Purchase Order (PO) Creation:

You begin by creating a Purchase Order for the materials listed in the BOM. This document is sent to your supplier, detailing the items, quantities, and agreed prices.
Receiving the Items (Item Receipt):

When the materials arrive, you create an Item Receipt in your accounting or inventory management system. This document acknowledges that you have received the goods but haven’t yet paid for them.
The inventory is updated to reflect the newly received items, increasing the stock levels.
Converting Item Receipt to Bill:

After confirming the receipt of items, the Item Receipt is converted into a Bill.
The Bill reflects your obligation to pay the supplier. It records the amounts owed and the due date for payment.
This step often includes matching the Bill to the original Purchase Order to ensure consistency in quantities and prices.
Paying the Bill:

The Bill is paid according to the payment terms agreed upon with the supplier. This transaction reduces your accounts payable and the cash or bank balance.
Manufacturing the Product:

Once all necessary materials are in stock (as per the BOM), the production process begins. During manufacturing, the materials are used up, and their costs are transferred from inventory to work-in-progress (WIP) or directly to the cost of goods sold (COGS), depending on your accounting system.
Creating Customer Invoices:

After the product is manufactured and ready for delivery, you generate a Customer Invoice.
This invoice includes the final product details, quantities, and prices, reflecting what the customer owes you.
The invoice is sent to the customer, and the amount is recorded as accounts receivable.",Product Functionality,,Medium (5-10 hours),6,,,
"Customer is wondering what type of inventory mangaement features we can customized to extend QBO. 

For this scenario, the advanced custom features does not need to sync. 
Here are the key flows:

1) Inventory Intake 
2) Track on Work order
3.) On Sales Order 
4.) On Purchase Order 
5.)Serialzing via SKU  
6) Location tracking",Product Functionality,,X-Large (30 + hours),5,,,
"Key Steps in the RMA Process:
Customer Request: A customer contacts the business requesting a return.
Issuance of RMA: The business reviews the request and issues an RMA number if the return is approved. This number tracks the return process.
Return of Goods: The customer ships the product back to the business, usually including the RMA number with the shipment.
Inspection: The business receives the product, inspects it to confirm the issue, and determines the appropriate action (replacement, refund, or repair).
Resolution: The business processes the return, issues a refund, replaces the product, or repairs it as agreed.
How it Fits with QuickBooks:
QuickBooks, as an accounting and inventory management software, can support the RMA process in the following ways:

Tracking Returns: QuickBooks allows you to create sales receipts, invoices, and credit memos. For RMA processes, you can use credit memos to record returns. The credit memo reflects the value of the returned goods and helps update your inventory and accounts receivable.

Inventory Management: When goods are returned, QuickBooks can update inventory levels based on the credit memo or refund. It keeps track of which products have been returned and adjusts stock accordingly.

Customer Refunds: QuickBooks can issue refunds or apply credit to the customer's account. Once the return is approved, you can create a credit memo, and QuickBooks will track the refund or adjustment.

Reporting: QuickBooks can generate reports on returns and credits issued, helping businesses track and analyze return patterns, customer behavior, and product issues.

Integration with Other Systems: If you use third-party RMA management software, QuickBooks can integrate with many such systems, ensuring that return transactions flow smoothly into your accounting records without manual input.

Incorporating an RMA process in QuickBooks makes it easier to manage the financial aspects of returns and maintain accurate records of your business's inventory and customer interactions.",Automation,,Medium (5-10 hours),5,,,
Customer is investigating if Method and Katana could be integrated to handle their inventory needs.,Integrations,,X-Large (30 + hours),4,,,
"The customer is a heavy user of Advanced Inventory, and while we can't support it fully, they would like Location Site and Bin to be visible on all major transactions.

Sales Orders
Invoices",Product Functionality,,Small (3 -4 hours),4,,,
"Data protection is often a hot topic for SMB owners, who love our QBooks integration but also feels insecure when it comes to their team having the keys to the business. 

Out of the box, the ability to export and import is restricted for Method  admins only.

This is, however, not the case on an app-to-app basis, so a non-admin has full access to download every customer, invoice, and inventory directly from export icon.

Can we customize a way to restrict non-admins from exporting outside of hiding the export icon on every single app?",Data Management,,Small (3 -4 hours),4,,,
