GroGreen Lawn Care,"Greg (loves Method, agreed to run Customer Story)",
,,
How do you currently manage scheduling and dispatching for your field team?,,
What tools do your field staff use while they're on the job?,,
How do you track or follow up on work that's been completed?,,
What’s your current process for creating and sending estimates or invoices?,,
How do you accept payments from customers today?,,
How do you keep track of customer information and past job history?,,
Do you track time spent on jobs or by specific team members?,,
How do you manage new leads or service requests when they come in?,,
Are there any parts of your workflow that feel repetitive or manual right now?,,
"If you could improve or automate one part of your job process, what would it be?",,
,,
Questions,,
Which specific workflows within Method CRM have you found most beneficial for your business processes?,"zapier integration to fill out form on website and opportunity, emails quote, taken Proposals app and stripped it down and rebuild it. I understand how everything works but it wouldn't be that way for everyone",with method i've created multiple apps
"Which other CRM or ERP systems did you consider, and what factors led you to choose Method CRM over them? (I.e.) Manufacturers sometimes use Fishbowl or katana for inventory management.)","Used Method classic first, then I'd trial other softwares (8 years) but always come back to Method because I can build it to do things the way I want to do it.",
"How do you describe your business (e.g., manufacturing, retail, suppliers), and which industry-specific terms are most relevant to your operations?","Field service business is appropriate, daily inspection reports, Ontario law when you're driving commercial vehicles you need and ELD",
"Besides Method CRM and QuickBooks, are there other software solutions you utilize, such as inventory management systems or specialized ERP tools?",,
"Which industry associations, events, or publications do you engage with regularly for industry news and updates?","Podcasts, big trade show in toronto, ontario trade show, 2nd largest in the world for landscaping down in Kentucky (Expo), by landscape ontario congress",
Gaps in Method? Anything you would recommend?,"The way the dashboard is organized, I wish there was a way you could organize things in another way",
,"move apps to different dashboards, like multiple tabs like insight",
From Greg,screen is cluttered so make multiple tabs,
"I love Method, with method i've created multiple apps",,
"zapier integration to fill out form on website and opportunity, emails quote, taken Proposals app and stripped it down and rebuild it. I understand how everything works but it wouldn't be that way for everyone",,
deconstructing everything,,
customer can sign up and create work orders,,
,,
"fertilising, pest control, weed man type of business, everything a landscaper doesn't do.",,
"jobbber is good for businesses like landscapers that are more labour based, some like landscape construction does great with projects but I'm in between",,
"small right now, me and 3 trucks. need to develop apps to scale and grow with me",,
"There are other softwares that track jobs, any",,
"website wordpress, zapier",,
"wasn't a fan of embedded forms on Method. They didn't seem well with the website, looked external. Looked like they were built into the website",,
"Build a wordpress plugin, lot of people use wordpress, ",,
Built an app to do things i wanna do it,,
when i go to other softwares they're organized a little better.,,
