Account Name,Company Name,Vertical,Industry,Workflow Type,Company Description,Supply Chain Position
conequippartsandequipmentllc,Conequip Parts & Equipment LLC,Wholesale and distribution services (MWD),Construction Equipment & Heavy Machinery Parts Distribution,Parts Distribution - Multi-Brand,"Distributor of new, aftermarket, used, and rebuilt parts for heavy construction equipment. Provides parts for all brands including CAT, Komatsu, Case, Deere, Kobelco, Cummins, Volvo CE, and more through warehouse network in USA, Canada & UK.",Distribution
j2medicalsupplyinc,J2 Medical Supply Inc,Wholesale and distribution services (MWD),Medical Equipment & Supplies Wholesale Distribution,Medical Supply Distribution - Wholesale & Direct,"MBE certified manufacturer and supplier of high-quality medical solutions. FDA-approved distributor with 300,000+ products including national brands and private-label medical products. Founded 2020 in Valencia, CA.",Manufacturing + Wholesale
dewesoft,DEWESoft LLC.,Manufacturing (MWD),Data Acquisition Systems & Test Measurement Solutions,Manufacturing & Software - European DAQ Systems Specialist,100% employee-owned company (designed to remain for 100+ years). Hardware/software made in Europe. Designed/developed/manufactured/calibrated in-house in state-of-the-art facilities. Industry-leading 7-year warranty. Award-winning DewesoftX software (Automotive Testing International best software innovation). Website: dewesoft.com.,Manufacturing
fujimats,"FUJI Mats, LLC",Manufacturing (MWD),Sporting Goods Manufacturing - Martial Arts Equipment,Manufacturing & Distribution - Direct & Dealer Network,"US-based manufacturer of training mats and gym equipment for martial arts (Jiu Jitsu, MMA, Judo). Official IJF Supplier. Products manufactured in USA with worldwide distribution through resellers and international distributors.",Manufacturing + Wholesale + Distribution
yoderbilt,"Yoderbilt, LLC",Manufacturing (MWD),Outdoor Living Products Manufacturing,Manufacturing - Handcrafted Products,"US-based manufacturer of handcrafted greenhouses, chicken coops, and AnyPet™ Enclosures. Each product fully assembled and delivered to permanent location. Headquarters in Mansfield, Arkansas. Nationwide dealer network.",Manufacturing
php,"PowerHandling, Inc",Manufacturing (MWD),Material Handling Equipment Manufacturing & Distribution,Manufacturing & Distribution - Worldwide Network,"Founded 2001 in LA, headquartered Spokane, WA. Develops compact, reliable, powerful air-powered roll movers for moving paper rolls and cable/wire reels. Worldwide distribution network of agents.",Manufacturing + Distribution
brownsafe,"Brown Safe Manufacturing, Inc",Manufacturing (MWD),Security Equipment Manufacturing - High-Security Safes & Vaults,Custom Manufacturing - High-Security Products,"Family-owned since 1980, headquartered Vista, CA. 85,000 sq ft facility, 60+ employees. Manufactures world's most-secure safes and vaults for government embassies, military bases, naval ships, jewelers, celebrity estates. 50-year warranty.",Manufacturing
celluma,"BioPhotas, Inc.",Manufacturing (MWD),Medical Device Manufacturing - LED Light Therapy,Manufacturing - FDA Regulated Medical Devices,"FDA registered medical device company founded 2011 in Tustin, CA. Flagship product Celluma uses proprietary photo-modulation LED technology. 10 FDA clearances for treatment indications including acne, wrinkles, arthritis, pain, hair loss.",Manufacturing
ciamedical,"Central Infusion Alliance, Inc.",Wholesale and distribution services (MWD),Medical Supplies Wholesale Distribution,Wholesale Distribution - Multi-Facility Healthcare,"Founded 2012, Skokie, IL. Largest online source for medical supplies serving 25,000+ customers nationwide. Wholesale to physicians, dentists, hospitals, nursing homes, hospice facilities.",Wholesale + Distribution
niagaramachine1,"Niagara Machine,1803 Associates Lane Charlotte NC 28217",Wholesale and distribution services (MWD),Construction Equipment & Concrete Surface Preparation Distribution,National Distribution - Multi-Location,"National distributor headquartered Erie, PA with facilities in Charlotte NC, Philadelphia, NYC area, Florida, and Texas. Specializes in concrete flooring and surface preparation equipment, tooling, and chemicals for professional contractors.",Distribution
LappStructures,Lapp Structures,Manufacturing (MWD),Custom Outdoor Structures Manufacturing,Custom Manufacturing - Handcrafted Products,"Lancaster County PA manufacturer of custom sheds, garages, greenhouses, and pool houses since 1987. Each structure built by hand with Amish craftsmanship. 5-year warranty on every structure.",Manufacturing
aquamatic,Aquamatic Cover Systems,Manufacturing (MWD),Pool Safety Equipment Manufacturing,Manufacturing - Patented Hydraulic Systems,"Founded 1978, industry leader in automatic pool safety covers. Holds more patents than all other cover companies combined. 43 years pursuing quality. UL tested and ASTM certified.",Manufacturing
lenworth,Lenworth Building Services Limited,Wholesale and distribution services (MWD),Commercial Building Equipment & Services,"Sales, Installation & Service - Solution-Based","Founded 2003 in Greater Toronto Area by Ralph Cawker. Sells, installs, and services commercial overhead doors, high-speed doors, loading dock equipment, and industrial fans. 24-hour emergency service to minimize facility downtime.",Unclear
FlowTurn,Flow-Turn Inc,Manufacturing (MWD),Powered Belt Curves & Spiral Conveyors Manufacturing,Global Manufacturing - Since 1980,"Founded 1980, Union, NJ. Global manufacturer of powered belt curves and spiral conveyors. Dedicated to delivering simple, efficient, reliable products to diverse national/international customers. Distribution/fulfillment centers, packaging/parcel facilities, airports installations.",Manufacturing
biggameusaCo2,BIG GAME SPORTS INC,Retail,Sporting Goods Manufacturing - Footballs,Manufacturing - Handcrafted Products,"Dallas, Texas manufacturer of handcrafted footballs for American fans. Produces custom footballs used by college teams. 'Truly as American as it gets' positioning.",Manufacturing
