Project,Problem,Solution,Opportunity,Road Map Status,Primary Revenue Lever, Core Metric & KPIs,Mechanism - Why we believe this will move ARR,Target Improvement (Estimate),Time to Impact (Ship | Impact),Reach,"T Shirt Size
Impact",Confidence,T Shirt Size Effort,SCORE ,Priority,Quarter
PRODUCT PRIORITIES - IGNITE ACTIVATION,,,,,,,,,,,,,,,,
Insights Email,Many users (47%) do not return to Method after the session they synced. ,"Monthly Insights email that will support the product engagement loops and lead users to engage with the Home Dashboard.
","-Motivate and give a reason for users to come back to Method to accomplish something.
-Leverage their trial by reaching them outside the platform after they synced.
-Improve external communications to bring users back to the product.",In Progress,Activation,"ARR
1.Improve 2nd Visit
2.Churn related too:
- Not using their Method Account
- Failure to adopt, train, and engage CRM users.
3. New Metric Email Engagement (Open Rate, CTR, Unsubs)",Engagement – Re-engagement / Usage Nudges,"2nd Visit Rate: +8.7% (57% to 62%)
Churn: save 6 /month or 78/year (2.3 to 2.24%)
",Mid Feb | End Feb,5  > 70% Users,5 High,"3 Reasonably Confident, Indirect Data Signals",4 S,17,High,Q1
App Intro States,"Apps are missing intro state, making it harder for a new user to understand the value quickly.","Empty state and first visit intro/value proposition into applications. Data or Not, value can still be shown better. ",Ensure the first visit to any app conveys the app's value and purpose clearly to boost discovery and activation. Can be layered on top of an empty state. ,Ready,Activation,"ARR
1. 2nd visit rate 
- Increase chances of finding value on first visit
2. Trial activation rate
3. Time to first value - Key conversion steps
4. Conversion to subscribe",Reduce time to value - Empty first impressions are abandonment points—transforming blank screens and incomplete data into clear value propositions.,"2nd Visit Rate: +8.2% (57 to 61.7)
Trial activation: +13.2% (44% to 50%)",Early March | End of March,3  > 30-70% Users,5 High,"5 Very Confidant, Direct Data Signals",3 M,16,High,Q1
Industry/Job Targetting infrustructure,"On initial onboarding, lots of accounts do not declare Industry and role. ",Require Industry and job data. Or ask for it at a different time OR access industry data from elsewhere. True solution TBD. ,Opportunity to get clear visibility and reliable data on industry and user role and open the posibility of greater product and content targetting. ,Planning,Activation,"1. Data quality and reliability
2. Data availability/timing",Relevance - Enables stronger targeting initiatives for activation. ,--,End March | -,3  > 30-70% Users,1 Low,"5 Very Confidant, Direct Data Signals",3 M,12,Medium,Q1
Native Onboarding Checklist Feature,"Appcues onboarding checklistis generic, not dynamic and doesn't recognize completion of the steps unless initated from the onboarding checklist (It limiting)",Build the integrated checklist that can support more dynamic and targeted content. Allow completion of key tasks even when not initiated from the checklist. Use as a compass that live on the home screen for the home,Make onboarding feel built in and responsive to new users actions to support all future targeting initialived and improve first impression UX. ,Planning,Activation,"ARR
1. 2nd visit rate 
- Integrated experience for improved first impression
2. Checklist completion rate
- supports activation and driving subscriptions
3. Key action completion rate
- finding value with key activation moments
(Also: Feature stability)",Guidance & Integration - Provides a clear path and feedback for the platform's value driving actions.,"2nd Visit Rate: +13.2% (57% to 65%)
Checklist Completion: 12x increase from today - 15% (vs. 1.2% Appcues)",April | Early May,3  > 30-70% Users,3 Medium,"5 Very Confidant, Direct Data Signals",2 L,13,Medium,Q1
,,,,,,,,,,,,,,,,
Targeted Onboarding,Onboarding content is generic and skips specilized/industry specific tools.,Industry specifc Onboarding. Target the MWD industries first. ,The opportunity is to provide industry and role-specific onboarding tasks so that users immediately see Method's value for their specific business context. Make key value adds more obvious.,Planning,Activation,"ARR
1. 2nd visit rate 
- Increase chances of finding value through key value drivers
2. Trial activation rate
- ICP targeted for reaching key value actions for their vertical
3. Conversion to subscribe",Relevance - Highly relevant feature discovery through a guided checklist experience. ,"2nd Visit Rate MWD: +5.5% (67% → 70-72% )
Trial Activation (MWD): +22% (48% → 59%)",Late April | Mid May,3  > 30-70% Users,5 High,"3 Reasonably Confident, Indirect Data Signals",4 S,15,High,Q2
New Targeted Insights,Insights are generic/ One size,More insights to appeal to our ICP/ leverage smart defaults. MWD focus. ,"Share insights that targets insistry, jobs or roles to activate users upon landing in the Method. ",Planning,Activation,"ARR
1. Insights engagement - weekly usage.
-Activate/adoption 
2. Churn improvements to:
-  Failure to adopt, train, and engage CRM users. 
3. 2nd visit rate 
- Increase chances of finding value through key value drivers
4. Conversion to subscribe",Immediate value - Data driven insights that triggers value driving action for our ICP and keep users returning for updates. ,Insights Engagement MWD: +49% more clicks (CTR 17% → 25.5%),May | Late May,5  > 70% Users,5 High,"3 Reasonably Confident, Indirect Data Signals",3 M,16,High,Q2
Recommendations section V1,Users are not supported by the product when in comes to deeper addoption. No guidance - unless they meet with PS or CSM. ,"Recommendations V1 - Recommendations for highly relivant discovery, setup and adoption tasks
 - EDA tiggers if possible","Provide product lead help, guidance, recommendations that is relevant to the industry, actions already taken and other data we have gathered to deepen their product discovery and adoption. ",Planning,Adoption,"ARR/GRR
1.Trial activation rate 
- assitsted activation and adoption
2.Churn improvements to:
- Not using their Method Account
- Failure to adopt, train, and engage CRM users.
3. Reduce CSM calls
4. Recommendation completion rate","Smart guidance - surfacing relevant next steps, setup and optimization to target activation and deeper adoption.","Trial activation: +11.5% growth in trial activation (44% → 49.1%) - activate 22 new users a month. 

Churn: reduce by 1-2% (Need more data)",Mid-June | July,5  > 70% Users,5 High,"3 Reasonably Confident, Indirect Data Signals",2 L,15,High,Q2
,,,,,,,,,,,,,,,,
