Cancellation Reason Explanation,Team,GPT Category,Sync Type,Vertical,Sync Region,Cancellation Date
Did not have the inventory requirements needed for my Organization,,Product Fit,QBO-V3,Accounting and Bookkeeping,US,9/23/2024
"Your initial functionality is too basic then you want to charge me 100s of $s for things that should automatically be available as a feature.

Was fixing to buy you guys like $600+ for basic stuff that SOS inventory software does automatically.",,Customization and Flexibility,QBO-V3,Manufacturing (MWD),US,6/24/2024
"Do not require, have a new CRM directly connected to custom inventory and POS system",,Product Fit,QBO-V3,,CA,6/11/2024
Thanks for the help. After the meeting with the Consulting Team we are not going to be needing Method.  Method does not work with advanced inventory and that is very inconvenient for us.  Thank you for all your time.,,Product Fit,QBD,Field Services,US,12/27/2023
the inventory management portion of the platform (main feature i'm looking for) is not sufficient for what I am doing.,Sales,Product Fit,QBD,Wholesale and distribution services (MWD),US,10/5/2024
"Spoke with Ethyn:

They switched to https://www.cin7.com/

Reason for Switching to Cin7:

- Cin7 meets 90-95% of their requirements.
- It provides robust inventory management.
- Bill of Materials tracking is crucial for them and comes standard with Cin7.
- Cin7 includes a built-in CRM that syncs seamlessly with QBO.
- While Method CRM can handle many of these needs, it requires customization.


Pricing Comparison:

- They’ll pay $300/month for user subscriptions to Cin7.
- Customization, training, and onboarding with Cin7 is a one-time charge of $800.",Connect,Product Fit,QBO-V3,Other,US,8/14/2024
"The customer support was wonderful, just not the right platform for us.  Need more inventory management features.",Sales,Product Fit,QBO-V3,Manufacturing (MWD),US,8/26/2024
"Part of the challenge is limitations with QBO. We need a full end to end process for Opportunities > Sales Orders > Purchase Orders > Work Orders > Inventory Tracking by Location > Shipping Releases > Invoicing, etc. 

I know method does most of this but it’s not synced back to QBO and then things get disconnected. We decided to implement Oracle NetSuite.",Sales,Integration Needs,QBO-V3,"Mining, Oil and Gas",US,4/3/2024
"Greg and his team have transitioned to an ERP system (NetSuite).

They  have  a heavy inventory management workflow and with QB working in conjunction with QBPOS, their inventory was simply a mess.

Greg understands that this isnt really a Method issue but have decided to leave QBooks and migrated to Netsuite as an all inclusive platform.",Sales,Product Fit,QBD,General product based,US,1/26/2024
You don't support multiple inventory locations.,,Integration Needs,QBO-V3,"Mining, Oil and Gas",CY,10/4/2024
"Method did not meet our needs for a CRM. We're a true mid-size firm. We need more robust features like a projects application included with the CRM. To be honest we need: QBO syncing 2 ways which you have, CRM, sales commission management, projects management, inventory management with barcode system, and chat/ forums. We found that with Bitrix for a great price. Thank you.",Sales,Product Fit,QBO-V3,Other,US,6/5/2024
"Until you can handle QB advanced inventory and multiple inventory sites, I don't think this will work for us. I may be back but don't want to keep paying.",,Integration Needs,QBD,Retail,CA,6/17/2024
We found a better solution for our CRM need that will be utilizing a tool we already use for inventory management etc.,Sales,Product Fit,QBO-V3,Manufacturing (MWD),US,12/15/2023
Needs to have an inventory software linked to it as well as the CRM. Moving to fishbowl,,Product Fit,Xero,Construction,AU,10/8/2024
