Question,Answers
How would you describe your business (industry)?,"Industry: Retail, distribution, and service.
 Business Model: Franchise-based, with around 50 locations and a goal of reaching 150-200.
 Key Differentiator: Unlike competitors who primarily sell mobility equipment online, Mobility City focuses on repairs and rentals alongside sales.
 Franchise Operations: Standardized model similar to McDonald's—each location offers the same services but retains some autonomy in product selection."
What are the most important workflows in your business (overall)?,"Key Workflows Identified:
 - Sales Transactions – Selling equipment in-store and tracking transactions.
 - Service & Repairs – Processing work orders for mobility equipment repairs.
 - Rentals – Managing short-term equipment rentals.
 - Standardizing Product Data – Establishing uniform item naming conventions across franchises to enable accurate sales reporting.
 - Compliance Monitoring – Ensuring franchises follow corporate processes.
 

 Pain Points:
 - Previously, sales data was fragmented due to inconsistent item naming in QuickBooks.
 - Lack of visibility into franchise operations, making it difficult to negotiate with suppliers.
 - Some franchisees still use paper, creating data tracking inconsistencies.
 - Limited control over system compliance, as franchisees can still revert to QuickBooks instead of Method."
How does your team currently use Method CRM?,"Primary Use: Method CRM replaced individual franchisee accounting-based POS systems (QuickBooks sales receipts) to centralize and standardize transactions.
 

 Customization:
 - 159 custom screens built to align with franchise workflows.
 - Created a custom sales receipt system in Method that enforces standardized product names.
 - Built a compliance tracking system to measure franchise adoption.
 

 Adoption & Challenges:
 - 66% compliance as of January 2025, with some still using QuickBooks or paper.
 - Some franchisees resist change due to comfort with old processes.
 - Custom security controls in Method are still evolving to enforce use of the system."
How has Method extended the power of QuickBooks?,"Method has extended QuickBooks by:
 - Standardizing sales tracking by enforcing a universal item list.
 - Centralized reporting that helps corporate track revenue and purchasing trends.
 - Created structured workflows for services and rentals, ensuring more accurate data collection."
Which Method packs/apps do you use/like the best?,"Preferred Method Packs/Apps:
 - Sales Transactions (Sales Receipts, Invoices)
 - Work Orders (For repairs)
 - Rental Management (For short-term rentals)
 - Compliance Reporting (Custom-built)
 - POS Integration (Replacing QuickBooks sales receipts with Method)"
What were you using before Method?,"Unclear if there was another CRM before Method.
 Craig inherited Method CRM when he joined but did not like the way it was originally designed.
 QuickBooks was used as the POS, which made standardization across franchises difficult.
 Franchisees had developed their own workflows, making compliance harder."
What challenges remain in your business that Method CRM could help with?,"Challenges that remain:
 - Increasing Franchise Compliance – Some still prefer QuickBooks or paper.
 - Fixing Bugs & Stability Issues – Issues occasionally arise that cause system disruptions.
 - Preventing Workarounds – Some franchisees find loopholes to bypass Method, leading to data inconsistencies.
 - Enhancing Payment Processing – Some franchises use different merchant services, making transitions harder."
Have you automated any key workflows?,"Yes, key automated workflows include:
 - Sales receipt standardization – Prevents franchises from renaming products inconsistently.
 - Compliance monitoring – Tracks which franchises use Method vs. QuickBooks.
 - Service & rental workflows – Structured processes ensure required fields are completed."
Any franchises that had a different workflow which Method customization could specifically help with compared to another CRM?,"Yes: Mobility City’s service & rental focus sets it apart from typical retail businesses.
 

 How Method Stands Out:
 - Most CRMs don’t offer highly customizable POS solutions like Method.
 - The ability to integrate sales, rentals, and service workflows in a single CRM is a unique advantage."
What social media platforms or content dashboards do you check regularly?,"Craig doesn’t know what franchise owners use.
 For CRM research, he relied on his experience with large ERP systems.
 Franchisees likely have varied sources."
